premise,hypothesis,label,sample_index,lila_label,lila_script
nhai employs 100 men to build a highway of 2 km in 50 days working 8 hours a day,nhai employs less than 700 men to build a highway of 2 km in 50 days working 8 hours a day,entailment,15,Entailment,"men_to_build_highway_s1 = 100
men_to_build_highway_s2 = 700

if men_to_build_highway_s1 is None or men_to_build_highway_s2 is None:
   print('neutral')

elif men_to_build_highway_s1 < men_to_build_highway_s2:
   print('Entailment')

elif men_to_build_highway_s1 != men_to_build_highway_s2:
  print('contradiction')"
nhai employs 100 men to build a highway of 2 km in 50 days working 8 hours a day,nhai employs 400 men to build a highway of 2 km in 50 days working 8 hours a day,contradiction,17,contradiction,"nhai_employee_s1 = 100
nhai_employee_s2 = 400

if nhai_employee_s1 is None or nhai_employee_s2 is None:
   print('neutral')

elif nhai_employee_s1 == nhai_employee_s2:
   print('Entailment')

elif nhai_employee_s1 != nhai_employee_s2:
  print('contradiction')"
than how many more employees should nhai hire to finish it in time working 10 hours a day ?,than how many more employees should nhai hire to finish it in time working less than 70 hours a day ?,entailment,18,Entailment,"working_time_in_s1 = 10
working_time_in_s2 = 0
working_time_in_s2 < 70


if working_time_in_s1 is None or working_time_in_s2 is None:
    print(""neutral"")
elif (working_time_in_s1 == working_time_in_s2) or working_time_in_s1 < 70:
    print(""Entailment"")
elif working_time_in_s1 != working_time_in_s2:
    print(""contradiction"")"
than how many more employees should nhai hire to finish it in time working less than 70 hours a day ?,than how many more employees should nhai hire to finish it in time working 10 hours a day ?,neutral,19,neutral,"nhai_working_s1 = None
nhai_working_s2 = 10
 
if nhai_working_s1 is None or nhai_working_s2 is None:
 print('neutral')

elif nhai_working_s1 == nhai_working_s2:
 print('Entailment')

elif nhai_working_s1 != nhai_working_s2:
 print('contradiction')"
than how many more employees should nhai hire to finish it in time working 10 hours a day ?,than how many more employees should nhai hire to finish it in time working more than 10 hours a day ?,contradiction,20,contradiction,"nhai_hire_hours_s1 = 10
nhai_hire_hours_s2 = 10+1

if nhai_hire_hours_s1 is None or nhai_hire_hours_s2 is None:
   print('neutral')

elif nhai_hire_hours_s1 == nhai_hire_hours_s2:
   print('Entailment')

elif nhai_hire_hours_s1 != nhai_hire_hours_s2:
  print('contradiction')"
there are 32 stations between ernakulam and chennai,there are more than 22 stations between ernakulam and chennai,entailment,21,Entailment,"station1 = 32
station2 = 0
station2 > 22

if station1 is None or station2 is None:
   print(""Neutral"")
elif station1 > station2:
  print(""Entailment"")
elif station1 != station2:
  print(""Contradiction"")"
there are more than 22 stations between ernakulam and chennai,there are 32 stations between ernakulam and chennai,neutral,22,neutral,"stations_in_s1 = 0
stations_in_s1 > 22
stations_in_s2 = 32

if stations_in_s1 is None or stations_in_s2 is None or stations_in_s2 > 22:
    print(""neutral"")
elif stations_in_s1 == stations_in_s2:
    print(""Entailment"")
elif stations_in_s1 != stations_in_s2:
    print(""contradiction"")"
there are 32 stations between ernakulam and chennai,there are less than 32 stations between ernakulam and chennai,contradiction,23,contradiction,"Station_between_Ernakulam_and_chennai_s1=32
Station_between_Ernakulam_and_chennai_s2=32-1
if Station_between_Ernakulam_and_chennai_s1 is None or Station_between_Ernakulam_and_chennai_s2 is None:
    print(""neutral"")
elif Station_between_Ernakulam_and_chennai_s1 == Station_between_Ernakulam_and_chennai_s2:
    print(""Entailment"")
elif Station_between_Ernakulam_and_chennai_s1 != Station_between_Ernakulam_and_chennai_s2:
    print(""contradiction"")

"
how many minutes does it take dhoni to type 64 words if he types at the rate of 16 words per minute ?,how many minutes does it take dhoni to type less than 84 words if he types at the rate of 16 words per minute ?,entailment,24,Entailment,"Dhoni_type_s1=64
Dhoni_type_s2=84
if Dhoni_type_s1 is None or Dhoni_type_s2 is None:
   print('neutral')
elif Dhoni_type_s1 <= Dhoni_type_s2:
   print('Entailment')
elif Dhoni_type_s1 != Dhoni_type_s2:
   print('contradiction')"
how many minutes does it take dhoni to type less than 84 words if he types at the rate of 16 words per minute ?,how many minutes does it take dhoni to type 64 words if he types at the rate of 16 words per minute ?,neutral,25,neutral,"dhoni_types_s1=84
dhoni_types_s1=None #lessthan 84 not proper number
dhoni_types_s2=64

if dhoni_types_s1 is None or dhoni_types_s2 is None:
   print('neutral')
elif dhoni_types_s1 == dhoni_types_s2:
   print('Entailment')
elif dhoni_types_s1 != dhoni_types_s2:
   print('contradiction')



"
how many minutes does it take dhoni to type 64 words if he types at the rate of 16 words per minute ?,how many minutes does it take dhoni to type 54 words if he types at the rate of 16 words per minute ?,contradiction,26,contradiction,"words_per_minute_s1 = 64
words_per_minute_s2 = 54

if words_per_minute_s1 is None or words_per_minute_s2 is None:
   print('neutral')

elif words_per_minute_s1 == words_per_minute_s2:
   print('Entailment')

elif words_per_minute_s1 != words_per_minute_s2:
  print('contradiction')"
less than 8200 from anwar at 6 % p,4200 from anwar at 6 % p,neutral,28,neutral,"anwar_s1 = None
anwar_s2 = 4200
 
if anwar_s1 is None or anwar_s2 is None:
 print('neutral')

elif anwar_s1 == anwar_s2:
 print('Entailment')

elif anwar_s1 != anwar_s2:
 print('contradiction')"
4200 from anwar at 6 % p,more than 4200 from anwar at 6 % p,contradiction,29,contradiction,"Anwar_s1 = 4200
Anwar_s2 = 0
Anwar_s2 > 4200

if Anwar_s1 is None or Anwar_s2 is None:
    print(""Neutral"")
elif Anwar_s1 == Anwar_s2:
    print(""Entailment"")
elif Anwar_s1 != Anwar_s2:
    print(""Contradiction"")"
how many ways are there for more than 2 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,how many ways are there for 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,neutral,31,neutral,"males_sit_s1 = None
males_sit_s2 = 3
 
if males_sit_s1 is None or males_sit_s2 is None:
 print('neutral')

elif males_sit_s1 == males_sit_s2:
 print('Entailment')

elif males_sit_s1 != males_sit_s2:
 print('contradiction')"
how many ways are there for 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,how many ways are there for less than 3 males and 3 females to sit ( around a circular table ) if no male should sit next to a male ( and no female next to female ) and mary wants to sit with her back on the wall ?,contradiction,32,contradiction,"total_males_s1 = 3
total_males_s2 = 3-1
 
if total_males_s1 is None or total_males_s2 is None:
 print('neutral')

elif total_males_s1 > total_males_s2:
 print('Entailment')

elif total_males_s1 != total_males_s2:
 print('contradiction')"
mr yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,mr yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,entailment,33,Entailment,"salary_for_consumables_s1 = 60
salary_for_consumables_s2 = 10

if salary_for_consumables_s1 is None or salary_for_consumables_s2 is None:
   print('neutral')

elif salary_for_consumables_s1 > salary_for_consumables_s2:
   print('Entailment')

elif salary_for_consumables_s1 != salary_for_consumables_s2:
  print('contradiction')"
mr yadav spends more than 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,mr yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,neutral,34,neutral,"yadav_spends_s1 = None
yadav_spends_s2 = 60

if yadav_spends_s1 is None or yadav_spends_s2 is None:
   print('neutral')

elif yadav_spends_s1 == yadav_spends_s2:
   print('Entailment')

elif yadav_spends_s1 != yadav_spends_s2:
  print('contradiction')"
mr yadav spends 60 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,mr yadav spends 10 % of his monthly salary on consumable items and 50 % of the remaining on clothes and transport,contradiction,35,contradiction,"yadav_salary_s1 = 60
yadav_salary_s2 = 10

if yadav_salary_s1 is None or yadav_salary_s2 is None:
   print('neutral')

elif yadav_salary_s1 == yadav_salary_s2:
   print('Entailment')

elif yadav_salary_s1 != yadav_salary_s2:
  print('contradiction')"
louie takes out a three - month loan of $ 1000,louie takes out a three - month loan of $ less than 6000,entailment,36,Entailment,"louie_loan_s1=1000
louie_loan_s2=6000
if louie_loan_s1 is None or louie_loan_s2 is None:
   print('neutral')
elif louie_loan_s1 <= louie_loan_s2:
   print('Entailment')
elif louie_loan_s1 != louie_loan_s2:
   print('contradiction')
"
louie takes out a three - month loan of $ 1000,louie takes out a three - month loan of $ 8000,contradiction,38,contradiction,"loan_amount_in_s1 = 1000
loan_amount_in_s2 = 8000


if loan_amount_in_s1 is None or loan_amount_in_s2 is None:
    print(""neutral"")
elif loan_amount_in_s1 == loan_amount_in_s2:
    print(""Entailment"")
elif loan_amount_in_s1 != loan_amount_in_s2:
    print(""contradiction"")"
a runner runs the 40 miles from marathon to athens at a constant speed,a runner runs the more than 20 miles from marathon to athens at a constant speed,entailment,39,Entailment,"runner_speed_s1=40
runner_speed_s2=20

if runner_speed_s1 is None or runner_speed_s2 is None:
   print('neutral')
elif runner_speed_s1 >= runner_speed_s2:
   print('Entailment')
elif runner_speed_s1 != runner_speed_s2:
   print('contradiction')



"
a runner runs the 40 miles from marathon to athens at a constant speed,a runner runs the 10 miles from marathon to athens at a constant speed,contradiction,41,contradiction,"runner_runs_s1 = 40
runner_runs_s2 = 10
 
if runner_runs_s1 is None or runner_runs_s2 is None:
 print('neutral')

elif runner_runs_s1 > runner_runs_s2:
 print('Entailment')

elif runner_runs_s1 != runner_runs_s2:
 print('contradiction')"
if the marks secured by reema was written as 36 instead of 86 then find the correct average marks up to two decimal places .,if the marks secured by reema was written as more than 16 instead of 86 then find the correct average marks up to two decimal places .,entailment,42,Entailment,"mark_secured_by_reema_s1 = 36
mark_secured_by_reema_s2 = 16

if mark_secured_by_reema_s1 is None or mark_secured_by_reema_s2 is None:
   print('neutral')

elif mark_secured_by_reema_s1 > mark_secured_by_reema_s2:
   print('Entailment')

elif mark_secured_by_reema_s1 != mark_secured_by_reema_s2:
  print('contradiction')"
if the marks secured by reema was written as 36 instead of 86 then find the correct average marks up to two decimal places .,if the marks secured by reema was written as more than 36 instead of 86 then find the correct average marks up to two decimal places .,contradiction,44,contradiction,"reema_written_s1 = 36
reema_written_s2 = 36+1
 
if reema_written_s1 is None or reema_written_s2 is None:
 print('neutral')

elif reema_written_s1 == reema_written_s2:
 print('Entailment')

elif reema_written_s1 != reema_written_s2:
 print('contradiction')"
"maddie has 24 apples , if she give 12 to mike , how many does she have left ?","maddie has less than 34 apples , if she give 12 to mike , how many does she have left ?",entailment,45,Entailment,"maddie_apple_s1 = 24
maddie_apple_s2 = 34

if maddie_apple_s1 is None or maddie_apple_s2 is None:
   print('neutral')

elif maddie_apple_s1 < maddie_apple_s2:
   print('Entailment')

elif maddie_apple_s1 != maddie_apple_s2:
  print('contradiction')"
"maddie has less than 34 apples , if she give 12 to mike , how many does she have left ?","maddie has 24 apples , if she give 12 to mike , how many does she have left ?",neutral,46,neutral,"apples_in_s1 = 0
apples_in_s1 < 34
apples_in_s2 = 12


if apples_in_s1 is None or apples_in_s2 is None or apples_in_s2 < 34:
    print(""neutral"")
elif apples_in_s1 == apples_in_s2:
    print(""Entailment"")
elif apples_in_s1 != apples_in_s2:
    print(""contradiction"")"
"maddie has 24 apples , if she give 12 to mike , how many does she have left ?","maddie has 44 apples , if she give 12 to mike , how many does she have left ?",contradiction,47,contradiction,"maddie_appled_s1 = 24
maddie_appled_s2 = 44

if maddie_appled_s1 is None or maddie_appled_s2 is None:
   print('neutral')

elif maddie_appled_s1 > maddie_appled_s2:
   print('Entailment')

elif maddie_appled_s1 != maddie_appled_s2:
  print('contradiction')"
"sarah signed 1 / 2 of the christmas cards , and richard signed 3 / 8 of them","sarah signed less than 3 / 2 of the christmas cards , and richard signed 3 / 8 of them",entailment,48,Entailment,"christmas_cards_s1 = 1/2
christmas_cards_s2 = 3/2

if christmas_cards_s1 is None or christmas_cards_s2 is None:
   print('neutral')

elif christmas_cards_s1 < christmas_cards_s2:
   print('Entailment')

elif christmas_cards_s1 != christmas_cards_s2:
  print('contradiction')
"
"sarah signed less than 3 / 2 of the christmas cards , and richard signed 3 / 8 of them","sarah signed 1 / 2 of the christmas cards , and richard signed 3 / 8 of them",neutral,49,neutral,"saras_card_in_s1 = 0
saras_card_in_s1 < 3/2
saras_card_in_s2 = 1/2
richards_card_in_s1 = 3/8
richards_card_in_s2 = 3/8


if saras_card_in_s1 is None or saras_card_in_s2 is None or saras_card_in_s2 < 3/2 or richards_card_in_s1 is None or richards_card_in_s2 is None:
    print(""neutral"")
elif saras_card_in_s1 == saras_card_in_s2 and richards_card_in_s1 == richards_card_in_s2:
    print(""Entailment"")
elif saras_card_in_s1 != saras_card_in_s2 or richards_card_in_s1 != richards_card_in_s2:
    print(""contradiction"")"
"sarah signed 1 / 2 of the christmas cards , and richard signed 3 / 8 of them","sarah signed 6 / 2 of the christmas cards , and richard signed 3 / 8 of them",contradiction,50,contradiction,"number_of_cards_sarah_signed_s1 = 1/2
number_of_cards_sarah_signed_s2 = 6/2

if number_of_cards_sarah_signed_s1 is None or number_of_cards_sarah_signed_s2 is None:
    print(""Neutral"")
elif number_of_cards_sarah_signed_s1 > number_of_cards_sarah_signed_s2 :
    print(""Entailment"")
elif number_of_cards_sarah_signed_s1 != number_of_cards_sarah_signed_s2 :
    print(""Contradiction"")"
bruce and bhishma are running on a circular track of length 600 m,bruce and bhishma are running on a circular track of length less than 800 m,entailment,51,Entailment,"track_length_s1 = 600
track_length_s2 = 800

if track_length_s1 is None or track_length_s2 is None:
   print('neutral')

elif track_length_s1 < track_length_s2:
   print('Entailment')

elif track_length_s1 != track_length_s2:
  print('contradiction')"
bruce and bhishma are running on a circular track of length 600 m,bruce and bhishma are running on a circular track of length less than 600 m,contradiction,53,contradiction,"length_track_s1 = 600
length_track_s2 = 600 - 1
 
if length_track_s1 is None or length_track_s2 is None:
 print('neutral')

elif length_track_s1 == length_track_s2:
 print('Entailment')

elif length_track_s1 != length_track_s2:
 print('contradiction')"
"if dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does dave have exactly five choices ?","if dave has more than one of each of the listed garments , and can make more than 1400 different outfits , then for how many garments does dave have exactly five choices ?",entailment,57,Entailment,"outfit_qty_in_s1 = 2400
outfit_qty_in_s2 = 0
outfit_qty_in_s2 > 1400

if outfit_qty_in_s1 is None or outfit_qty_in_s2 is None:
    print(""neutral"")
elif (outfit_qty_in_s1 == outfit_qty_in_s2) or outfit_qty_in_s1 > 1400:
    print(""Entailment"")
elif outfit_qty_in_s1 != outfit_qty_in_s2:
    print(""contradiction"")"
"if dave has more than one of each of the listed garments , and can make more than 1400 different outfits , then for how many garments does dave have exactly five choices ?","if dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does dave have exactly five choices ?",neutral,58,neutral,"different_outfits_s1 = None
different_outfits_s2 = 2400

if different_outfits_s1 is None or different_outfits_s2 is None:
   print('neutral')

elif different_outfits_s1 == different_outfits_s2:
   print('Entailment')

elif different_outfits_s1 != different_outfits_s2:
  print('contradiction')
"
"if dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does dave have exactly five choices ?","if dave has more than one of each of the listed garments , and can make more than 2400 different outfits , then for how many garments does dave have exactly five choices ?",contradiction,59,contradiction,"different_outfits_s1 = 2400
different_outfits_s2 = 2400+1

if different_outfits_s1 is None or different_outfits_s2 is None:
   print('neutral')

elif different_outfits_s1 == different_outfits_s2:
   print('Entailment')

elif different_outfits_s1 != different_outfits_s2:
  print('contradiction')
"
"in arun ' s company more than 50 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","in arun ' s company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",neutral,61,neutral,"employees_earn_s1 = 0
employees_earn_s1 > 50
employees_earn_s2 = 60

employees_earn_s1 = None
employees_earn_s2 = None

if employees_earn_s1 is None or employees_earn_s2 is None:
   print(""Neutral"")
elif employees_earn_s1 < employees_earn_s2:
  print(""Entailment"")
elif employees_earn_s1 != employees_earn_s2:
  print(""Contradiction"")"
"in arun ' s company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","in arun ' s company 40 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",contradiction,62,contradiction,"employees_earns_s1 = 60
employees_earns_s2 = 40

if employees_earns_s1 is None or employees_earns_s2 is None:
   print('neutral')

elif employees_earns_s1 == employees_earns_s2:
   print('Entailment')

elif employees_earns_s1 != employees_earns_s2:
  print('contradiction')"
he works at it for 20 days and then rajesh finished it in 30 days,he works at it for less than 60 days and then rajesh finished it in 30 days,entailment,63,Entailment,"he_works_at_it_in_s1 = 20
he_works_at_it_in_s2 = 0
he_works_at_it_in_s2 < 60
rajesh_finish_at_it_in_s1 = 30
rajesh_finish_at_it_in_s2 = 30


if he_works_at_it_in_s1 is None or he_works_at_it_in_s2 is None or rajesh_finish_at_it_in_s1 is None or rajesh_finish_at_it_in_s2 is None:
    print(""neutral"")
elif (he_works_at_it_in_s1 == he_works_at_it_in_s2 or he_works_at_it_in_s1 < 60) and rajesh_finish_at_it_in_s1 == rajesh_finish_at_it_in_s2:
    print(""Entailment"")
elif he_works_at_it_in_s1 != he_works_at_it_in_s2 or rajesh_finish_at_it_in_s1 != rajesh_finish_at_it_in_s2:
    print(""contradiction"")"
he works at it for less than 60 days and then rajesh finished it in 30 days,he works at it for 20 days and then rajesh finished it in 30 days,neutral,64,neutral,"rajesh_works_s1 = None
rajesh_works_s2 = 20
 
if rajesh_works_s1 is None or rajesh_works_s2 is None:
 print('neutral')

elif rajesh_works_s1 == rajesh_works_s2:
 print('Entailment')

elif rajesh_works_s1 != rajesh_works_s2:
 print('contradiction')"
he works at it for 20 days and then rajesh finished it in 30 days,he works at it for 50 days and then rajesh finished it in 30 days,contradiction,65,contradiction,"Works_s1=20
Works_s2=50
if Works_s1 is None or Works_s2 is None:
   print('neutral')
elif Works_s1 == Works_s2:
   print('Entailment')
elif Works_s1 != Works_s2:
   print('contradiction')
"
"on a 20 mile course , pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour","on a 60 mile course , pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour",contradiction,68,contradiction,"distance_in_s1 = 20
distance_in_s2 = 60

first_12_miniuts_speed_in_s1 = 30
first_12_miniuts_speed_in_s2 = 30

rest_distance_in_s1 = 8
rest_distance_in_s2 = 8

if distance_in_s1 is None or distance_in_s2 is None or first_12_miniuts_speed_in_s1 is None or first_12_miniuts_speed_in_s2 is None or rest_distance_in_s1 is None or rest_distance_in_s2 is None:
    print(""neutral"")
elif distance_in_s1 == distance_in_s2 and first_12_miniuts_speed_in_s1 == first_12_miniuts_speed_in_s2 and rest_distance_in_s1 == rest_distance_in_s2:
    print(""Entailment"")
elif distance_in_s1 != distance_in_s2 or first_12_miniuts_speed_in_s1 != first_12_miniuts_speed_in_s2 or rest_distance_in_s1 != rest_distance_in_s2:
    print(""contradiction"")"
murali travelled from city a to city b at a speed of 40 kmph and from city b to city c at 60 kmph,murali travelled from city a to city b at a speed of less than 80 kmph and from city b to city c at 60 kmph,entailment,69,Entailment,"Murli_travelled_s1=40
Murli_travelled_s2=80
if Murli_travelled_s1 is None or Murli_travelled_s2 is None:
   print('neutral')
elif Murli_travelled_s1 <= Murli_travelled_s2:
   print('Entailment')
elif Murli_travelled_s1 != Murli_travelled_s2:
   print('contradiction')
"
murali travelled from city a to city b at a speed of less than 80 kmph and from city b to city c at 60 kmph,murali travelled from city a to city b at a speed of 40 kmph and from city b to city c at 60 kmph,neutral,70,neutral,"speed_s1 = 0
speed_s1 < 80
speed_s2 = 40

speed_s1 = None
speed_s2 = None

if speed_s1 is None or speed_s2 is None:
   print(""Neutral"")
elif speed_s1 < speed_s2:
  print(""Entailment"")
elif speed_s1 != speed_s2:
  print(""Contradiction"")"
murali travelled from city a to city b at a speed of 40 kmph and from city b to city c at 60 kmph,murali travelled from city a to city b at a speed of more than 40 kmph and from city b to city c at 60 kmph,contradiction,71,contradiction,"murali_speed_s1 = 40
murali_speed_s2 = 40+1

if murali_speed_s1 is None or murali_speed_s2 is None:
   print('neutral')

elif murali_speed_s1 == murali_speed_s2:
   print('Entailment')

elif murali_speed_s1 != murali_speed_s2:
  print('contradiction')
"
what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 2 : 3 ?a,what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is less than 6 : 3 ? a,entailment,72,Entailment,"ratio_between_distance_s1 = 2/3
ratio_between_distance_s2 = 6/3

if ratio_between_distance_s1 is None or ratio_between_distance_s2 is None:
   print('neutral')

elif ratio_between_distance_s1 < ratio_between_distance_s2:
   print('Entailment')

elif ratio_between_distance_s1 != ratio_between_distance_s2:
  print('contradiction')
"
what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is less than 6 : 3 ? a,what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 2 : 3 ?a,neutral,73,neutral,"dis_ratio_in_s1 = 0
dis_ratio_in_s1 < 6/3
dis_ratio_in_s1 = 5/3
dis_ratio_in_s2 = 2/3


if dis_ratio_in_s1 is None or dis_ratio_in_s2 is None or 2/3<dis_ratio_in_s1 < 6/3:
    print(""neutral"")
elif dis_ratio_in_s1 == dis_ratio_in_s2:
    print(""Entailment"")
elif dis_ratio_in_s1 != dis_ratio_in_s2:
    print(""contradiction"")"
what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 2 : 3 ?a,what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is 5 : 3 ? a,contradiction,74,contradiction,"ratio_in_s1 = 2/3
ratio_in_s2 = 5/3


if ratio_in_s1 is None or ratio_in_s2 is None:
    print(""neutral"")
elif ratio_in_s1 == ratio_in_s2:
    print(""Entailment"")
elif ratio_in_s1 != ratio_in_s2:
    print(""contradiction"")"
"efrida and frazer who live 12 miles apart , meet at a restaurant that is directly north of efrida ' s home and directly east of frazer ' s home","efrida and frazer who live less than 62 miles apart , meet at a restaurant that is directly north of efrida ' s home and directly east of frazer ' s home",entailment,75,Entailment,"miles_apart_s1 = 12
miles_apart_s2 = 62
 
if miles_apart_s1 is None or miles_apart_s2 is None:
 print('neutral')

elif miles_apart_s1 < miles_apart_s2:
 print('Entailment')

elif miles_apart_s1 != miles_apart_s2:
 print('contradiction')"
