sample_index,label,error_message,golden_label
471,entailment,,entailment
445,entailment,,entailment
414,entailment,,entailment
434,entailment,,entailment
465,entailment,,entailment
496,neutral,,entailment
451,entailment,,entailment
400,neutral,,entailment
389,entailment,,entailment
158,entailment,,entailment
298,entailment,,entailment
288,entailment,,entailment
399,entailment,,entailment
410,entailment,,entailment
441,entailment,,entailment
486,entailment,,entailment
475,entailment,,entailment
424,entailment,,entailment
194,entailment,,entailment
205,entailment,,entailment
345,entailment,,entailment
254,entailment,,entailment
314,entailment,,entailment
167,entailment,,entailment
320,entailment,,entailment
260,entailment,,entailment
371,entailment,,neutral
231,entailment,,entailment
382,entailment,,entailment
153,entailment,,entailment
293,entailment,,entailment
283,entailment,,entailment
392,entailment,,entailment
221,entailment,,entailment
361,entailment,,entailment
270,entailment,,entailment
330,entailment,,entailment
177,entailment,,entailment
304,entailment,,entailment
244,entailment,,entailment
355,entailment,,entailment
215,entailment,,neutral
184,entailment,,entailment
375,entailment,,entailment
235,entailment,,neutral
324,neutral,,entailment
264,neutral,,entailment
297,entailment,,entailment
386,entailment,,entailment
157,entailment,,entailment
250,entailment,,entailment
310,neutral,,entailment
201,entailment,,neutral
190,neutral,,neutral
341,entailment,,neutral
163,entailment,,entailment
499,entailment,,neutral
489,entailment,,neutral
173,neutral,,entailment
351,entailment,,entailment
180,neutral,,entailment
211,entailment,,neutral
300,entailment,,entailment
240,entailment,,entailment
396,entailment,,entailment
287,entailment,,neutral
274,entailment,,neutral
334,entailment,,entailment
225,entailment,,entailment
365,entailment,,neutral
374,entailment,,entailment
234,entailment,,entailment
325,entailment,,entailment
265,entailment,,entailment
296,entailment,,entailment
387,entailment,,entailment
156,entailment,,entailment
251,entailment,,entailment
311,entailment,,entailment
191,entailment,,entailment
200,entailment,,entailment
340,entailment,,entailment
162,entailment,,neutral
498,neutral,,neutral
488,entailment,,neutral
172,entailment,,entailment
350,entailment,,entailment
210,entailment,,entailment
181,neutral,,entailment
301,entailment,,entailment
241,entailment,,entailment
397,entailment,,entailment
286,entailment,,entailment
275,entailment,,entailment
335,entailment,,entailment
224,entailment,,entailment
364,entailment,,entailment
204,entailment,,entailment
195,entailment,,entailment
344,neutral,,entailment
255,entailment,,entailment
315,entailment,,entailment
166,neutral,,entailment
321,entailment,,entailment
261,entailment,,entailment
370,entailment,,entailment
230,entailment,,entailment
383,entailment,,entailment
152,entailment,,entailment
292,entailment,,entailment
282,entailment,,entailment
393,entailment,,entailment
220,neutral,,neutral
360,entailment,,entailment
271,entailment,,entailment
331,entailment,,entailment
176,entailment,,entailment
305,entailment,,entailment
245,entailment,,entailment
354,entailment,,entailment
185,entailment,,entailment
214,neutral,,entailment
384,entailment,,entailment
155,entailment,,entailment
295,entailment,,entailment
326,entailment,,entailment
266,entailment,,entailment
377,entailment,,entailment
237,entailment,,entailment
161,entailment,,entailment
203,entailment,,entailment
192,neutral,,entailment
343,entailment,,neutral
252,neutral,,entailment
312,entailment,,entailment
439,entailment,,entailment
468,entailment,,entailment
478,neutral,,entailment
429,entailment,,entailment
302,entailment,,entailment
242,entailment,,entailment
353,entailment,,entailment
182,entailment,,entailment
213,neutral,,entailment
171,neutral,,entailment
227,entailment,,entailment
367,entailment,,entailment
276,entailment,,neutral
336,entailment,,entailment
285,entailment,,entailment
394,entailment,,entailment
165,entailment,,entailment
256,entailment,,entailment
316,entailment,,entailment
196,entailment,,entailment
207,entailment,,entailment
347,neutral,,entailment
291,entailment,,entailment
380,neutral,,entailment
151,entailment,,entailment
373,entailment,,entailment
233,entailment,,entailment
322,entailment,,entailment
262,entailment,,entailment
409,entailment,,entailment
458,entailment,,entailment
448,entailment,,entailment
419,entailment,,entailment
272,entailment,,entailment
332,entailment,,entailment
223,neutral,,entailment
363,entailment,,neutral
390,entailment,,entailment
281,entailment,,entailment
357,entailment,,entailment
217,neutral,,entailment
186,entailment,,entailment
306,entailment,,entailment
246,entailment,,entailment
175,entailment,,entailment
164,entailment,,entailment
257,neutral,,entailment
317,entailment,,entailment
206,entailment,,entailment
197,entailment,,entailment
346,neutral,,entailment
290,neutral,,entailment
381,entailment,,entailment
150,entailment,,entailment
372,entailment,,entailment
232,entailment,,entailment
323,entailment,,entailment
263,neutral,,entailment
408,entailment,,entailment
459,entailment,,entailment
449,neutral,,entailment
418,entailment,,entailment
273,entailment,,entailment
333,neutral,,entailment
222,entailment,,entailment
362,entailment,,entailment
391,entailment,,entailment
280,entailment,,entailment
356,entailment,,entailment
187,neutral,,entailment
216,entailment,,entailment
307,entailment,,entailment
247,entailment,,entailment
174,entailment,,neutral
385,entailment,,entailment
154,neutral,,entailment
294,entailment,,entailment
327,entailment,,entailment
267,entailment,,entailment
376,entailment,,entailment
236,entailment,,entailment
160,entailment,,entailment
193,entailment,,entailment
202,entailment,,entailment
342,entailment,,entailment
253,entailment,,entailment
313,entailment,,entailment
438,entailment,,entailment
469,entailment,,entailment
479,entailment,,entailment
428,entailment,,entailment
303,entailment,,entailment
243,entailment,,entailment
352,entailment,,entailment
212,entailment,,entailment
183,entailment,,entailment
170,neutral,,entailment
226,entailment,,entailment
366,entailment,,entailment
277,entailment,,entailment
337,entailment,,entailment
284,entailment,,entailment
395,neutral,,entailment
456,entailment,,entailment
407,entailment,,entailment
491,neutral,,neutral
433,entailment,,entailment
462,neutral,,entailment
198,entailment,,entailment
209,entailment,,entailment
349,neutral,,entailment
258,entailment,,entailment
318,entailment,,entailment
308,entailment,,entailment
248,entailment,,entailment
359,entailment,,entailment
219,entailment,,entailment
188,entailment,,entailment
472,entailment,,entailment
423,entailment,,entailment
481,neutral,,neutral
417,entailment,,entailment
446,neutral,,entailment
495,neutral,,neutral
466,entailment,,entailment
437,entailment,,entailment
403,entailment,,entailment
452,entailment,,entailment
379,entailment,,entailment
239,entailment,,entailment
328,entailment,,entailment
268,entailment,,entailment
278,entailment,,neutral
338,entailment,,entailment
229,entailment,,entailment
369,entailment,,entailment
442,entailment,,entailment
413,entailment,,entailment
427,entailment,,entailment
476,entailment,,entailment
485,neutral,,neutral
494,neutral,,entailment
467,entailment,,entailment
436,entailment,,entailment
402,entailment,,entailment
453,entailment,,entailment
378,entailment,,entailment
238,entailment,,entailment
329,entailment,,entailment
269,entailment,,entailment
279,entailment,,entailment
339,entailment,,entailment
228,entailment,,entailment
368,entailment,,entailment
443,entailment,,entailment
412,entailment,,entailment
426,neutral,,entailment
477,entailment,,entailment
484,neutral,,entailment
457,entailment,,entailment
406,entailment,,entailment
490,neutral,,neutral
432,entailment,,entailment
463,entailment,,entailment
208,entailment,,entailment
199,entailment,,entailment
348,entailment,,entailment
259,entailment,,entailment
319,entailment,,entailment
309,entailment,,entailment
249,neutral,,entailment
358,entailment,,entailment
189,neutral,,entailment
218,entailment,,entailment
473,entailment,,entailment
422,entailment,,entailment
480,entailment,,neutral
416,entailment,,entailment
447,entailment,,entailment
575,entailment,,neutral
524,neutral,,neutral
706,neutral,,neutral
646,neutral,,neutral
757,neutral,,neutral
617,entailment,,entailment
586,neutral,,neutral
681,neutral,,neutral
510,entailment,,neutral
541,entailment,,entailment
623,entailment,,neutral
763,neutral,,neutral
672,entailment,,neutral
732,neutral,,neutral
722,entailment,,neutral
662,neutral,,neutral
633,entailment,,neutral
551,neutral,,neutral
500,entailment,,neutral
691,entailment,,neutral
596,entailment,,neutral
607,neutral,,neutral
747,neutral,,neutral
656,entailment,,neutral
716,entailment,,neutral
534,entailment,,neutral
565,entailment,,neutral
545,neutral,,neutral
514,neutral,,neutral
685,neutral,,neutral
676,entailment,,neutral
736,neutral,,neutral
627,neutral,,neutral
520,neutral,,neutral
571,neutral,,neutral
753,neutral,,neutral
582,entailment,,neutral
613,neutral,,neutral
702,neutral,,neutral
642,neutral,,neutral
652,entailment,,neutral
712,neutral,,neutral
603,neutral,,neutral
592,neutral,,neutral
743,neutral,,neutral
561,entailment,,neutral
530,neutral,,neutral
637,neutral,,neutral
726,neutral,,neutral
666,neutral,,neutral
695,neutral,,neutral
504,entailment,,entailment
555,entailment,,neutral
544,entailment,,neutral
684,entailment,,neutral
515,entailment,,neutral
677,neutral,,neutral
737,neutral,,neutral
626,entailment,,neutral
521,neutral,,neutral
570,entailment,,neutral
752,neutral,,neutral
612,neutral,,neutral
583,neutral,,neutral
703,neutral,,neutral
643,neutral,,neutral
653,entailment,,neutral
713,entailment,,neutral
593,entailment,,neutral
602,neutral,,neutral
742,neutral,,neutral
560,neutral,,neutral
531,neutral,,neutral
636,entailment,,neutral
727,neutral,,neutral
667,neutral,,neutral
505,neutral,,entailment
694,entailment,,entailment
554,entailment,,entailment
574,neutral,,entailment
525,neutral,,neutral
707,neutral,,neutral
647,neutral,,entailment
756,entailment,,neutral
587,entailment,,neutral
616,neutral,,neutral
511,entailment,,entailment
680,entailment,,neutral
540,neutral,,neutral
622,entailment,,neutral
762,neutral,,neutral
673,neutral,,neutral
733,neutral,,neutral
723,neutral,,neutral
663,neutral,,neutral
632,entailment,,neutral
550,entailment,,neutral
690,entailment,,neutral
501,entailment,,neutral
606,neutral,,neutral
597,entailment,,neutral
746,neutral,,neutral
657,neutral,,neutral
717,neutral,,neutral
535,neutral,,neutral
564,entailment,,neutral
629,neutral,,neutral
678,neutral,,neutral
738,neutral,,entailment
728,entailment,,neutral
668,neutral,,neutral
639,entailment,,neutral
759,neutral,,neutral
619,entailment,,neutral
588,entailment,,neutral
708,neutral,,neutral
648,neutral,,neutral
658,neutral,,neutral
718,neutral,,neutral
598,neutral,,neutral
609,neutral,,neutral
749,neutral,,entailment
758,neutral,,neutral
589,entailment,,neutral
618,neutral,,neutral
709,neutral,,entailment
649,entailment,,neutral
659,neutral,,neutral
719,entailment,,neutral
608,entailment,,neutral
599,neutral,,neutral
748,neutral,,neutral
628,entailment,,neutral
679,neutral,,neutral
739,entailment,,neutral
729,neutral,,neutral
669,neutral,,neutral
638,neutral,,neutral
579,entailment,,neutral
528,entailment,,entailment
538,entailment,,entailment
569,neutral,,neutral
549,entailment,,entailment
518,entailment,,neutral
689,entailment,,neutral
699,entailment,,neutral
508,neutral,,entailment
559,entailment,,neutral
548,entailment,,neutral
688,neutral,,neutral
519,neutral,,neutral
509,entailment,,neutral
698,entailment,,neutral
558,entailment,,neutral
578,entailment,,neutral
529,entailment,,neutral
539,neutral,,entailment
568,entailment,,neutral
625,neutral,,neutral
765,neutral,,neutral
674,neutral,,neutral
734,neutral,,neutral
516,neutral,,neutral
687,neutral,,neutral
547,entailment,,neutral
700,neutral,,neutral
640,neutral,,neutral
751,neutral,,entailment
580,neutral,,neutral
611,neutral,,neutral
573,entailment,,neutral
522,entailment,,entailment
532,entailment,,neutral
563,entailment,,neutral
601,neutral,,neutral
590,entailment,,neutral
741,neutral,,neutral
650,neutral,,neutral
710,neutral,,neutral
557,entailment,,neutral
697,neutral,,neutral
506,entailment,,neutral
724,neutral,,neutral
664,neutral,,neutral
635,neutral,,neutral
755,entailment,,neutral
615,neutral,,neutral
584,entailment,,neutral
704,entailment,,neutral
644,neutral,,neutral
526,neutral,,neutral
577,entailment,,neutral
670,neutral,,entailment
730,neutral,,neutral
621,entailment,,neutral
761,neutral,,neutral
543,entailment,,entailment
683,entailment,,neutral
512,entailment,,neutral
502,neutral,,neutral
693,entailment,,neutral
553,neutral,,neutral
631,neutral,,neutral
720,entailment,,neutral
660,entailment,,neutral
567,neutral,,neutral
536,entailment,,neutral
654,neutral,,neutral
714,entailment,,neutral
594,neutral,,neutral
605,neutral,,neutral
745,neutral,,neutral
754,neutral,,neutral
585,neutral,,entailment
614,neutral,,neutral
705,neutral,,neutral
645,entailment,,neutral
527,entailment,,neutral
576,neutral,,neutral
671,entailment,,neutral
731,neutral,,neutral
620,neutral,,neutral
760,neutral,,neutral
542,neutral,,entailment
513,entailment,,neutral
682,neutral,,neutral
692,neutral,,neutral
503,neutral,,neutral
552,entailment,,neutral
630,neutral,,neutral
721,neutral,,neutral
661,neutral,,neutral
566,neutral,,neutral
537,entailment,,neutral
655,neutral,,neutral
715,neutral,,entailment
604,neutral,,neutral
595,neutral,,neutral
744,neutral,,neutral
624,neutral,,neutral
764,neutral,,neutral
675,entailment,,neutral
735,neutral,,neutral
686,neutral,,entailment
517,entailment,,entailment
546,neutral,,neutral
701,neutral,,neutral
641,neutral,,neutral
750,neutral,,neutral
610,entailment,,neutral
581,entailment,,neutral
572,entailment,,neutral
523,entailment,,neutral
533,entailment,,neutral
562,neutral,,neutral
591,neutral,,neutral
600,neutral,,neutral
740,neutral,,neutral
651,neutral,,neutral
711,entailment,,neutral
556,neutral,,neutral
507,neutral,,entailment
696,entailment,,neutral
725,neutral,,neutral
665,neutral,,neutral
634,entailment,,neutral
805,neutral,,neutral
945,neutral,,neutral
854,neutral,,neutral
914,neutral,,neutral
790,neutral,,neutral
893,neutral,,neutral
920,neutral,,neutral
860,neutral,,neutral
831,neutral,,neutral
821,entailment,,neutral
961,neutral,,neutral
870,neutral,,neutral
773,neutral,,neutral
930,neutral,,neutral
780,entailment,,neutral
883,neutral,,neutral
904,neutral,,neutral
844,neutral,,neutral
955,neutral,,neutral
815,entailment,,neutral
897,entailment,,neutral
794,entailment,,neutral
835,neutral,,neutral
924,neutral,,neutral
767,entailment,,neutral
864,neutral,,neutral
850,neutral,,neutral
910,neutral,,neutral
801,neutral,,neutral
941,neutral,,neutral
951,neutral,,neutral
811,neutral,,neutral
900,neutral,,neutral
840,neutral,,neutral
777,neutral,,neutral
874,neutral,,neutral
934,neutral,,neutral
825,entailment,,neutral
965,neutral,,neutral
887,neutral,,neutral
784,neutral,,neutral
795,neutral,,neutral
896,neutral,,neutral
834,neutral,,neutral
925,neutral,,neutral
865,entailment,,neutral
766,neutral,,neutral
851,neutral,,neutral
911,neutral,,neutral
800,neutral,,neutral
940,neutral,,neutral
950,neutral,,neutral
810,neutral,,entailment
901,neutral,,neutral
841,neutral,,neutral
875,neutral,,neutral
776,entailment,,neutral
935,neutral,,neutral
824,neutral,,neutral
964,neutral,,neutral
785,neutral,,neutral
886,neutral,,neutral
804,neutral,,neutral
944,neutral,,entailment
855,entailment,,neutral
915,neutral,,neutral
892,entailment,,neutral
791,neutral,,neutral
921,neutral,,entailment
861,neutral,,neutral
830,neutral,,neutral
820,entailment,,neutral
960,neutral,,neutral
772,neutral,,neutral
871,neutral,,neutral
931,neutral,,entailment
882,neutral,,neutral
781,entailment,,neutral
905,neutral,,neutral
845,neutral,,neutral
954,neutral,,neutral
814,error,"File ""/Users/ioanamazilu/PycharmProjects/quant_nli/data/generated/NewsNLI/gpt4/sample_814.py"", line 7
    fans_premise = 100s
                     ^
SyntaxError: invalid decimal literal",neutral
769,entailment,,neutral
899,neutral,,neutral
889,entailment,,neutral
779,neutral,,neutral
768,neutral,,neutral
898,neutral,,neutral
888,neutral,,neutral
778,neutral,,neutral
809,neutral,,neutral
949,neutral,,neutral
858,neutral,,neutral
918,neutral,,neutral
908,neutral,,neutral
848,neutral,,neutral
959,neutral,,neutral
819,neutral,,neutral
798,entailment,,neutral
839,neutral,,neutral
928,neutral,,neutral
868,neutral,,neutral
878,neutral,,entailment
938,neutral,,neutral
829,neutral,,neutral
788,entailment,,neutral
799,entailment,,neutral
838,neutral,,neutral
929,neutral,,neutral
869,neutral,,neutral
879,neutral,,neutral
939,neutral,,neutral
828,neutral,,neutral
789,neutral,,neutral
808,neutral,,neutral
948,neutral,,neutral
859,neutral,,neutral
919,neutral,,neutral
909,neutral,,neutral
849,entailment,,neutral
958,neutral,,neutral
818,neutral,,neutral
926,entailment,,neutral
866,neutral,,neutral
837,neutral,,neutral
796,neutral,,neutral
895,neutral,,neutral
803,neutral,,neutral
943,neutral,,neutral
852,neutral,,neutral
912,neutral,,neutral
902,neutral,,neutral
842,entailment,,neutral
953,neutral,,neutral
813,neutral,,neutral
786,neutral,,neutral
885,neutral,,neutral
827,neutral,,neutral
967,neutral,,neutral
876,neutral,,neutral
775,neutral,,entailment
936,entailment,,neutral
856,neutral,,neutral
916,neutral,,neutral
807,neutral,,neutral
947,neutral,,neutral
833,neutral,,neutral
922,neutral,,neutral
862,neutral,,neutral
891,neutral,,neutral
792,neutral,,neutral
881,entailment,,neutral
782,neutral,,neutral
771,neutral,,neutral
872,neutral,,neutral
932,neutral,,neutral
823,entailment,,neutral
963,entailment,,neutral
957,neutral,,neutral
817,neutral,,neutral
906,neutral,,neutral
846,neutral,,neutral
857,neutral,,neutral
917,neutral,,neutral
806,neutral,,neutral
946,entailment,,neutral
832,neutral,,neutral
923,neutral,,neutral
863,neutral,,neutral
793,neutral,,entailment
890,neutral,,neutral
783,neutral,,entailment
880,neutral,,neutral
873,entailment,,neutral
770,neutral,,entailment
933,neutral,,neutral
822,neutral,,neutral
962,neutral,,neutral
956,neutral,,neutral
816,neutral,,neutral
907,neutral,,neutral
847,neutral,,neutral
927,neutral,,neutral
867,neutral,,neutral
836,neutral,,neutral
894,neutral,,neutral
797,entailment,,neutral
802,neutral,,neutral
942,neutral,,neutral
853,neutral,,neutral
913,neutral,,neutral
903,neutral,,neutral
843,entailment,,neutral
952,neutral,,neutral
812,neutral,,neutral
884,neutral,,entailment
787,neutral,,neutral
826,neutral,,neutral
966,neutral,,neutral
774,neutral,,neutral
877,neutral,,neutral
937,entailment,,neutral
