sample_index,premise,hypothesis,golden_label,reference_label,completion
2491,"While planning their outing, Abhishek understood that their boat could travel with a speed of less than 52 kmph in still water.","While planning their outing, Abhishek understood that their boat could travel with a speed of 12 kmph in still water.",neutral,neutral,"boat_speed_premise = 52
boat_speed_hypothesis = 12

# the hypothesis talks about the speed of the boat in still water, also mentioned in the premise
if boat_speed_hypothesis >= boat_speed_premise:
    # check if the hypothesis value contradicts the estimate of less than 'boat_speed_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the speed of the boat
    # any speed less than 'boat_speed_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
3842,"Diana works 10 hours per day on Monday, Wednesday and Friday, and 15 hours per day on Tuesday and Thursday.","Diana works 30 hours per day on Monday, Wednesday and Friday, and 15 hours per day on Tuesday and Thursday.",contradiction,contradiction,"work_hours_mon_wed_fri_premise = 10
work_hours_tue_thu_premise = 15
work_hours_mon_wed_fri_hypothesis = 30
work_hours_tue_thu_hypothesis = 15

# the hypothesis refers to the working hours of Diana on the days mentioned in the premise
if work_hours_mon_wed_fri_hypothesis != work_hours_mon_wed_fri_premise:
    # check if the number of work hours on Monday, Wednesday, and Friday in the hypothesis contradicts the number of work hours reported in the premise
    label = ""contradiction""
elif work_hours_tue_thu_hypothesis != work_hours_tue_thu_premise:
    # check if the number of work hours on Tuesday and Thursday in the hypothesis contradicts the number of work hours reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
1695,"Jane is currently 32 years old, and she stopped baby-sitting 10 years ago.","Jane is currently more than 12 years old, and she stopped baby-sitting 10 years ago.",entailment,entailment,"jane_age_premise = 32
jane_age_hypothesis = 12
babysitting_stop_premise = 10
babysitting_stop_hypothesis = 10

# the hypothesis talks about Jane's age and when she stopped babysitting, both also mentioned in the premise
if jane_age_premise <= jane_age_hypothesis:
    # check if the hypothesis value contradicts the mentioned age of Jane in the premise
    label = ""contradiction""
elif babysitting_stop_premise != babysitting_stop_hypothesis:
    # check if the time mentioned for stopping babysitting contradicts the one mentioned in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
4935,Anita goes away and Indu leaves 7 days before the work is finished.,Anita goes away and Indu leaves more than 5 days before the work is finished.,entailment,entailment,"indu_leave_premise = 7
indu_leave_hypothesis = 5

# the hypothesis talks about the number of days Indu leaves before the work is finished, which is also mentioned in the premise
if indu_leave_premise < indu_leave_hypothesis:
    # check if the number of days mentioned in the premise contradicts the estimate of more than 'indu_leave_hypothesis'
    label = ""contradiction""
elif indu_leave_premise > indu_leave_hypothesis:
    # check if the number of days mentioned in the premise is greater than 'indu_leave_hypothesis'
    # if it is, then the premise entails the hypothesis
    label = ""entailment""
else:
    # if the number of days mentioned in the premise is equal to 'indu_leave_hypothesis', then it's a neutral case
    label = ""neutral""

print(label)
"
4090,Harkamal purchased more than 5 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg.,Harkamal purchased 8 kg of grapes at the rate of 70 per kg and 9 kg of mangoes at the rate of 55 per kg.,neutral,neutral,"grapes_kg_premise = 5
grapes_kg_hypothesis = 8
rate_grapes = 70
mangoes_kg_premise = 9
mangoes_kg_hypothesis = 9
rate_mangoes = 55

# the hypothesis refers to the amount and price of grapes and mangoes mentioned in the premise
if grapes_kg_hypothesis <= grapes_kg_premise:
    # check if the hypothesis value contradicts the estimate of more than 'grapes_kg_premise' kgs of grapes
    label = ""contradiction""
elif mangoes_kg_hypothesis != mangoes_kg_premise:
    # check if the number of kgs of mangoes in the hypothesis contradicts the number of kgs of mangoes reported in the premise
    label = ""contradiction""
else:
    # the premise gives only an estimate for the amount of grapes
    # the number 'grapes_kg_hypothesis' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
4340,Sandy can do a job in 15 days and Molly can do the same job in 30 days.,Sandy can do a job in 25 days and Molly can do the same job in 30 days.,contradiction,contradiction,"sandy_job_time_premise = 15
molly_job_time_premise = 30
sandy_job_time_hypothesis = 25
molly_job_time_hypothesis = 30

# the hypothesis talks about the time Sandy and Molly need to do a job, referenced also in the premise
if sandy_job_time_hypothesis != sandy_job_time_premise:
    # check if the time Sandy needs to do a job in the hypothesis contradicts the time Sandy needs to do a job in the premise
    label = ""contradiction""
elif molly_job_time_hypothesis != molly_job_time_premise:
    # check if the time Molly needs to do a job in the hypothesis contradicts the time Molly needs to do a job in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
3750,They both work together for 5 days and then Sushil goes away.,They both work together for more than 1 days and then Sushil goes away.,entailment,entailment,"work_days_premise = 5
work_days_hypothesis = 1

# the hypothesis refers to the number of days they both work together as mentioned in the premise
if work_days_premise <= work_days_hypothesis:
    # check if the hypothesis estimate contradicts the number of days they worked together in the premise
    label = ""contradiction""
else:
    # if the estimate of 'work_days_hypothesis' does not contradict the number of days in the premise, we can infer entailment
    label = ""entailment""

print(label)
"
1283,Q:Robert purchased $3500 worth of US saving bonds.,Q:Robert purchased $5500 worth of US saving bonds.,contradiction,contradiction,"bonds_purchased_premise = 3500
bonds_purchased_hypothesis = 5500

# the hypothesis talks about the amount of US saving bonds Robert purchased, which is also mentioned in the premise
if bonds_purchased_hypothesis != bonds_purchased_premise:
    # check if the value of 'bonds_purchased_hypothesis' contradicts the amount of bonds purchased in the premise
    label = ""contradiction""
else:
    # if the hypothesis value does not contradict the premise one, we can infer entailment
    label = ""entailment""

print(label)
"
2420,"In an exam, Amar scored 64 percent, Bhavan scored 36 percent and Chetan 44 percent.","In an exam, Amar scored more than 64 percent, Bhavan scored 36 percent and Chetan 44 percent.",contradiction,contradiction,"amar_score_premise = 64
amar_score_hypothesis = 64
bhavan_score_premise = 36
bhavan_score_hypothesis = 36
chetan_score_premise = 44
chetan_score_hypothesis = 44

# the hypothesis refers to the exam scores of Amar, Bhavan and Chetan mentioned in the premise
if amar_score_hypothesis <= amar_score_premise:
    # check if the hypothesis contradicts the premise in regards to Amar's score
    label = ""contradiction""
elif bhavan_score_hypothesis != bhavan_score_premise:
    # check if the hypothesis contradicts the premise in regards to Bhavan's score
    label = ""contradiction""
elif chetan_score_hypothesis != chetan_score_premise:
    # check if the hypothesis contradicts the premise in regards to Chetan's score
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
6081,"If Rahul finds that he is 12 th from the right in a line of boys and 4 th from the left, how many boys should be added to the line such that there are 28 boys in the line?","If Rahul finds that he is less than 62 th from the right in a line of boys and 4 th from the left, how many boys should be added to the line such that there are 28 boys in the line?",entailment,entailment,"position_right_premise = 12
position_right_hypothesis = 62
position_left = 4
boys_in_line_premise = 28
boys_in_line_hypothesis = 28

# the hypothesis talks about Rahul's position in a line and the total number of boys, same as the premise
if position_right_hypothesis < position_right_premise:
    # check if the hypothesis value contradicts the premise value of 'position_right_premise'
    label = ""contradiction""
elif boys_in_line_hypothesis != boys_in_line_premise:
    # check if the total number of boys in the hypothesis contradicts the total number of boys in the premise
    label = ""contradiction""
else:
    # if the hypothesis values do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
3844,"At Veridux Corporation, there are less than 300 employees.","At Veridux Corporation, there are 200 employees.",neutral,neutral,"employees_premise = 300
employees_hypothesis = 200

# the hypothesis talks about the number of employees in Veridux Corporation, referenced also in the premise
if employees_hypothesis >= employees_premise:
    # check if the hypothesis value contradicts the estimate of less than 'employees_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the number of employees
    # any number of employees less than 'employees_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
2823,Caleb spends $66.50 on 50 hamburgers for the marching band.,Caleb spends $66.50 on more than 30 hamburgers for the marching band.,entailment,entailment,"spending_premise = 66.50
hamburgers_premise = 50
hamburgers_hypothesis = 30

# the hypothesis refers to the amount of money spent and number of hamburgers, mentioned in the premise
if hamburgers_premise <= hamburgers_hypothesis:
    # check if the number of hamburgers in the hypothesis contradicts the number of hamburgers mentioned in the premise
    label = ""contradiction""
elif spending_premise != spending_premise:
    # check if the spending amount in the hypothesis contradicts the spending amount reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
5816,Angela has 11 pairs of matched socks.,Angela has 51 pairs of matched socks.,contradiction,contradiction,"matched_socks_premise = 11
matched_socks_hypothesis = 51

# the hypothesis refers to the number of matched socks Angela has, which is also mentioned in the premise
if matched_socks_hypothesis != matched_socks_premise:
    # check if the number of matched socks in the hypothesis contradicts the number of matched socks reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
7343,"6970, then what will be the share of Sameer in the profit?","less than 6970, then what will be the share of Sameer in the profit?",contradiction,contradiction,"# Defining the variables for the premise and hypothesis
profit_share_premise = 6970
profit_share_hypothesis = 6970

# The hypothesis and premise both refer to Sameer's share in profit
if profit_share_hypothesis > profit_share_premise:
    # Check if the hypothesis value contradicts the premise that Sameer's share is 6970
    label = ""contradiction""
elif profit_share_hypothesis == profit_share_premise:
    # Check if the hypothesis value exactly equals to the premise
    label = ""contradiction""
else:
    # If the hypothesis value is less than the premise, it does not contradict the premise
    # but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
1482,In a certain province in France there are 11 cities.,In a certain province in France there are less than 81 cities.,entailment,entailment,"cities_premise = 11
cities_hypothesis = 81

# the hypothesis refers to the number of cities in a province in France, also mentioned in the premise
if cities_premise >= cities_hypothesis:
    # check if the number of cities in the premise contradicts the hypothesis stating there are less than 'cities_hypothesis'
    label = ""contradiction""
else:
    # the hypothesis estimate is greater than the number of cities in the premise, so the premise can be fully and explicitly entailed in the hypothesis
    label = ""entailment""

print(label)
"
6148,"Each week, James is paid x dollars per per hour for the first less than 70 hours and 2 x dollars for each additional hour worked that week.","Each week, James is paid x dollars per per hour for the first 40 hours and 2 x dollars for each additional hour worked that week.",neutral,neutral,"hours_regular_premise = 70
hours_regular_hypothesis = 40

# the hypothesis refers to the hours of regular work mentioned in the premise
if hours_regular_hypothesis > hours_regular_premise:
    # check if the number of regular hours in the hypothesis contradicts the number of regular hours reported in the premise
    label = ""contradiction""
else:
    # if the number of regular hours in the hypothesis is less than or equal to the number of regular hours in the premise, it does not contradict the premise, but cannot be explicitly entailed from the premise either
    label = ""neutral""

print(label)
"
3189,"After 7 years, Arun's age will be 19 years.","After more than 5 years, Arun's age will be 19 years.",entailment,entailment,"years_future_premise = 7
age_future_premise = 19
years_future_hypothesis = 5
age_future_hypothesis = 19

# the hypothesis refers to the number of years in the future and the age at that time mentioned in the premise
if years_future_hypothesis >= years_future_premise:
    # check if the estimate of 'years_future_hypothesis' contradicts the number of future years in the premise
    label = ""contradiction""
elif age_future_hypothesis != age_future_premise:
    # check if the future age in the hypothesis contradicts the future age reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
7352,"Sheila works 8 hours per day on Monday, Wednesday and Friday, and 6 hours per day on Tuesday and Thursday.","Sheila works less than 8 hours per day on Monday, Wednesday and Friday, and 6 hours per day on Tuesday and Thursday.",contradiction,contradiction,"work_hours_mon_wed_fri_premise = 8
work_hours_mon_wed_fri_hypothesis = 8
work_hours_tue_thu_premise = 6
work_hours_tue_thu_hypothesis = 6

# the hypothesis refers to Sheila's working hours on the same days mentioned in the premise
if work_hours_mon_wed_fri_hypothesis >= work_hours_mon_wed_fri_premise:
    # check if the hypothesis estimate contradicts the number of work hours per day on Monday, Wednesday and Friday reported in the premise
    label = ""contradiction""
elif work_hours_tue_thu_hypothesis != work_hours_tue_thu_premise:
    # check if the number of work hours per day on Tuesday and Thursday in the hypothesis contradicts the number of work hours reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
4643,Peter purchased 30 kg of rice at the rate of $11.50 per kg and 20 kg of rice at the rate of 14.25 per kg.,Peter purchased 20 kg of rice at the rate of $11.50 per kg and 20 kg of rice at the rate of 14.25 per kg.,contradiction,contradiction,"rice1_quantity_premise = 30
rice1_rate_premise = 11.50
rice2_quantity_premise = 20
rice2_rate_premise = 14.25

rice1_quantity_hypothesis = 20
rice1_rate_hypothesis = 11.50
rice2_quantity_hypothesis = 20
rice2_rate_hypothesis = 14.25

# the hypothesis refers to the amount and price of rice Peter purchased, mentioned in the premise
if rice1_quantity_hypothesis != rice1_quantity_premise or rice1_rate_hypothesis != rice1_rate_premise:
    # check if the amount or price of rice1 in the hypothesis contradicts the amount or price of rice1 in the premise
    label = ""contradiction""
elif rice2_quantity_hypothesis != rice2_quantity_premise or rice2_rate_hypothesis != rice2_rate_premise:
    # check if the amount or price of rice2 in the hypothesis contradicts the amount or price of rice2 in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
1270,"In the city of San Durango, more than 60 people own cats, dogs, or rabbits.","In the city of San Durango, 90 people own cats, dogs, or rabbits.",neutral,neutral,"pets_owners_premise = 60
pets_owners_hypothesis = 90

# the hypothesis refers to the number of people owning pets in the city of San Durango, as stated in the premise
if pets_owners_hypothesis <= pets_owners_premise:
    # check if the number of pet owners in the hypothesis contradicts the estimate of more than 'pets_owners_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the number of pet owners
    # any number of pet owners greater than 'pets_owners_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
742,Kishore saved less than 40% of his monthly salary.,Kishore saved 10% of his monthly salary.,neutral,neutral,"saved_percentage_premise = 40
saved_percentage_hypothesis = 10

# the hypothesis refers to the percentage of salary saved by Kishore, which is also mentioned in the premise
if saved_percentage_hypothesis >= saved_percentage_premise:
    # check if the hypothesis value contradicts the estimate of less than 'saved_percentage_premise'
    label = ""contradiction""
else:
    # the premise gives only an estimate for the percentage of salary saved
    # any percentage lower than 'saved_percentage_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
2943,"Working independently, Ann can do the same job in 9 hours.","Working independently, Ann can do the same job in more than 7 hours.",entailment,entailment,"job_hours_premise = 9
job_hours_hypothesis = 7

# the hypothesis talks about the number of hours Ann can do a job, referenced also in the premise
if job_hours_premise < job_hours_hypothesis:
    # check if the hours in the premise contradict the estimate of more than 'job_hours_hypothesis'
    label = ""contradiction""
elif job_hours_premise == job_hours_hypothesis:
    # the premise gives a specific number of hours 
    # any number of hours equal to 'job_hours_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""
else:
    # if the hypothesis value and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
5091,Jerry’s average (arithmetic mean) score on the first 3 of 4 tests is 85.,Jerry’s average (arithmetic mean) score on the first less than 5 of 4 tests is 85.,entailment,entailment,"tests_premise = 3
tests_hypothesis = 5
score_average_premise = 85
score_average_hypothesis = 85

# the hypothesis refers to the same tests and their average score mentioned in the premise
if tests_hypothesis <= tests_premise and score_average_hypothesis == score_average_premise:
    # check if the number of tests in the hypothesis contradicts the number of tests in the premise
    label = ""contradiction""
elif score_average_hypothesis != score_average_premise:
    # check if the average score in the hypothesis contradicts the average score in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
198,Ramesh can finish a work in 20 days and Sushil in 25 days.,Ramesh can finish a work in more than 10 days and Sushil in 25 days.,entailment,entailment,"ramesh_premise = 20
ramesh_hypothesis = 10
sushil_premise = 25
sushil_hypothesis = 25

# the hypothesis refers to the time Ramesh and Sushil need to finish a work, mentioned in the premise
if ramesh_hypothesis >= ramesh_premise:
    # check if the estimate of 'ramesh_hypothesis' contradicts the time Ramesh needs to finish a work in the premise
    label = ""contradiction""
elif sushil_hypothesis != sushil_premise:
    # check if the time Sushil needs to finish a work in the hypothesis contradicts the time Sushil needs to finish a work reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
4059,"The distance between their homes is 36 kilometers, Betty's walking speed is 4 km/h, and Dave's walking speed is 3 km/h.","The distance between their homes is less than 86 kilometers, Betty's walking speed is 4 km/h, and Dave's walking speed is 3 km/h.",entailment,entailment,"home_distance_premise = 36
home_distance_hypothesis = 86
betty_speed_premise = 4
betty_speed_hypothesis = 4
dave_speed_premise = 3
dave_speed_hypothesis = 3

# the hypothesis refers to the distance between homes, Betty's and Dave's walking speed mentioned in the premise
if home_distance_premise > home_distance_hypothesis:
    # check if the estimation of 'home_distance_hypothesis' contradicts the distance in the premise
    label = ""contradiction""
elif betty_speed_premise != betty_speed_hypothesis:
    # check if Betty's speed in the hypothesis contradicts the speed reported in the premise
    label = ""contradiction""
elif dave_speed_premise != dave_speed_hypothesis:
    # check if Dave's speed in the hypothesis contradicts the speed reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
6963,"In a locality, the prevailing price of a 700 square feet property last year was US Dollar 1000.","In a locality, the prevailing price of a less than 800 square feet property last year was US Dollar 1000.",entailment,entailment,"property_size_premise = 700
property_price_premise = 1000
property_size_hypothesis = 800
property_price_hypothesis = 1000

# the hypothesis refers to the price and size of a property mentioned in the premise
if property_price_premise != property_price_hypothesis:
    # check if the price of the property in the hypothesis contradicts the price of the property in the premise
    label = ""contradiction""
elif property_size_hypothesis <= property_size_premise:
    # check if the size of the property in the hypothesis contradicts the size of the property in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
272,"At present, the ratio between the ages of Arun and Deepak is 4:3.","At present, the ratio between the ages of Arun and Deepak is 2:3.",contradiction,contradiction,"arun_deepak_ratio_premise = 4/3
arun_deepak_ratio_hypothesis = 2/3

# the hypothesis talks about the age ratio of Arun and Deepak, which is also mentioned in the premise
if arun_deepak_ratio_hypothesis == arun_deepak_ratio_premise:
    # check if the ratio in the hypothesis matches the ratio in the premise
    label = ""entailment""
else:
    # if the ratio in the hypothesis does not match with the ratio in the premise, it is a contradiction
    label = ""contradiction""

print(label)
"
2599,"If Melvin's GMAT score is twice his monthly electric bill, and his life expectancy is more than 30, what is his shoe size?","If Melvin's GMAT score is twice his monthly electric bill, and his life expectancy is 40, what is his shoe size?",neutral,neutral,"life_expectancy_premise = 30
life_expectancy_hypothesis = 40

# the hypothesis talks about Melvin's life expectancy, which is referenced also in the premise
if life_expectancy_hypothesis <= life_expectancy_premise:
    # check if the hypothesis value contradicts the premise estimate of more than 'life_expectancy_premise'
    label = ""contradiction""
else:
    # the premise gives only a lower limit for Melvin's life expectancy
    # any life expectancy greater than 'life_expectancy_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
2936,"If Lionel's speed was 2 miles per hour and Walt's 6 miles per hour, how many miles had Lionel walked when he met Walt?","If Lionel's speed was less than 2 miles per hour and Walt's 6 miles per hour, how many miles had Lionel walked when he met Walt?",contradiction,contradiction,"lionel_speed_premise = 2
lionel_speed_hypothesis = 2
walt_speed_premise = 6
walt_speed_hypothesis = 6

# the hypothesis talks about Lionel's and Walt's speed, referenced also in the premise
if lionel_speed_hypothesis >= lionel_speed_premise:
    # check if the hypothesis value contradicts the premise of Lionel's speed being less than 'lionel_speed_premise'
    label = ""contradiction""
elif walt_speed_hypothesis != walt_speed_premise:
    # check if the speed of Walt in the hypothesis contradicts the speed of Walt reported in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise ones, we can infer entailment
    label = ""entailment""

print(label)
"
2734,"In a race, Mohan beats Sohan by more than 30 m and Sohan beats Rohan by 80 m.","In a race, Mohan beats Sohan by 40 m and Sohan beats Rohan by 80 m.",neutral,neutral,"mohan_beats_sohan_premise = 30
mohan_beats_sohan_hypothesis = 40
sohan_beats_rohan_premise = 80
sohan_beats_rohan_hypothesis = 80

# The hypothesis talks about the distance by which Mohan beats Sohan and Sohan beats Rohan, both also mentioned in the premise
if mohan_beats_sohan_hypothesis <= mohan_beats_sohan_premise:
    # Check if the hypothesis value contradicts the estimate of more than 'mohan_beats_sohan_premise'
    label = ""contradiction""
elif sohan_beats_rohan_hypothesis != sohan_beats_rohan_premise:
    # Check if the distance by which Sohan beats Rohan in the hypothesis contradicts the same reported in the premise
    label = ""contradiction""
else:
    # The premise gives only an estimate for the distance by which Mohan beats Sohan
    # Any distance greater than 'mohan_beats_sohan_premise' is consistent with the premise, but cannot be explicitly entailed from the premise
    label = ""neutral""

print(label)
"
