premise,hypothesis,lila_label,lila_script
"If the rosters for Professor Wang's 3 classes are combined with no student's name listed more than once, how many names will be on the combined roster?","If the rosters for Professor Wang's more than 1 classes are combined with no student's name listed more than once, how many names will be on the combined roster?",Entailment,"professor_wang_classes_s1 = 3
professor_wang_classes_s2 = 1

if professor_wang_classes_s1 is None or professor_wang_classes_s2 is None:
   print('neutral')

elif professor_wang_classes_s1 > professor_wang_classes_s2:
   print('Entailment')

elif professor_wang_classes_s1 != professor_wang_classes_s2:
  print('contradiction')"
Sally had 39.0 baseball cards and Sara gave Sally 24.0 more.,Sally has 63.0 baseball cards now.,Entailment,"number_of_cards_sally_has_s1 = 39+24
number_of_cards_sally_has_s2 = 63

if number_of_cards_sally_has_s1 is None or number_of_cards_sally_has_s2 is None:
   print('neutral')

elif number_of_cards_sally_has_s1 == number_of_cards_sally_has_s2:
   print('Entailment')

elif number_of_cards_sally_has_s1 != number_of_cards_sally_has_s2:
  print('contradiction')
"
"2000, Deepak's share is :","less than 2000, Deepak's share is :",contradiction,"deepak_share_s1 = 2000
deepak_share_s2 = 0

if deepak_share_s1 is None or deepak_share_s2 is None:
   print('neutral')

elif deepak_share_s1 == deepak_share_s2:
   print('Entailment')

elif deepak_share_s1 != deepak_share_s2:
  print('contradiction')
"
By how much must Rebecca's annual income increase so that it constitutes less than 60% of Rebecca and Jimmy's combined income?,By how much must Rebecca's annual income increase so that it constitutes 50% of Rebecca and Jimmy's combined income?,neutral,"combined_income_s1 = None
combined_income_s2 = 50

if combined_income_s1 is None or combined_income_s2 is None:
   print('neutral')

elif combined_income_s1 == combined_income_s2:
   print('Entailment')

elif combined_income_s1 != combined_income_s2:
  print('contradiction')"
"Dacid obtained 76, 65, 82, 67 and 85 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.","Dacid obtained more than 36, 65, 82, 67 and 85 marks (out of 100) in English, Mathematics, Physics, Chemistry and Biology.",Entailment,"marks_obtained_in_english_s1 = 76
marks_obtained_in_english_s2 = 36

if marks_obtained_in_english_s1 is None or marks_obtained_in_english_s2 is None:
   print('neutral')

elif marks_obtained_in_english_s1 > marks_obtained_in_english_s2:
   print('Entailment')

elif marks_obtained_in_english_s1 != marks_obtained_in_english_s2:
  print('contradiction')
"
"The pilot of a small aircraft with a 40-gallon fuel tank wants to fly to Cleveland, which is 480 miles away.","The pilot of a small aircraft with a 70-gallon fuel tank wants to fly to Cleveland, which is 480 miles away.",contradiction,"pilots_of_small_aircraft_s1 = 40
pilots_of_small_aircraft_s2 = 70

if pilots_of_small_aircraft_s1 is None or pilots_of_small_aircraft_s2 is None:
   print('neutral')

elif pilots_of_small_aircraft_s1 == pilots_of_small_aircraft_s2:
   print('Entailment')

elif pilots_of_small_aircraft_s1 != pilots_of_small_aircraft_s2:
  print('contradiction')"
Two twins sisters Sita and Geeta were standing back to back and suddenly they started running in opposite directions for 10 km each.,Two twins sisters Sita and Geeta were standing back to back and suddenly they started running in opposite directions for less than 20 km each.,Entailment,"distance_sisters_run_for_s1 = 10
distance_sisters_run_for_s2 = 20

if distance_sisters_run_for_s1 is None or distance_sisters_run_for_s2 is None:
   print('neutral')

elif distance_sisters_run_for_s1 < distance_sisters_run_for_s2:
   print('Entailment')

elif distance_sisters_run_for_s1 != distance_sisters_run_for_s2:
  print('contradiction')"
The ratio of Gomati’s and Rashmi’s ages is less than 4:5 respectively.,The ratio of Gomati’s and Rashmi’s ages is 3:5 respectively.,neutral,"ratio_both_age_s1 = None
ratio_both_age_s2 = 3/5

if ratio_both_age_s1 is None or ratio_both_age_s2 is None:
   print('neutral')

elif ratio_both_age_s1 == ratio_both_age_s2:
   print('Entailment')

elif ratio_both_age_s1 != ratio_both_age_s2:
  print('contradiction')
"
1100 and Karen's share is Rs.,more than 1100 and Karen's share is Rs.,contradiction,"karen_share_s1 = 1100
karen_share_s2 = 0

if karen_share_s1 is None or karen_share_s2 is None:
   print('neutral')

elif karen_share_s1 == karen_share_s2:
   print('Entailment')

elif karen_share_s1 != karen_share_s2:
  print('contradiction')"
Bhanu spends 30% of his income on petrol on scooter 21% of the remaining on house rent and the balance on food.,Bhanu spends less than 50% of his income on petrol on scooter 21% of the remaining on house rent and the balance on food.,Entailment,"percentage_of_income_bhanu_spends_s1 = 30
percentage_of_income_bhanu_spends_s2 = 50

if percentage_of_income_bhanu_spends_s1 is None or percentage_of_income_bhanu_spends_s2 is None:
   print('neutral')

elif percentage_of_income_bhanu_spends_s1 < percentage_of_income_bhanu_spends_s2:
   print('Entailment')

elif percentage_of_income_bhanu_spends_s1 != percentage_of_income_bhanu_spends_s2:
  print('contradiction')

"
"Faiza has 7 purses, she gives 3 purse as gift.","Faiza has less than 7 purses, she gives 3 purse as gift.",contradiction,"gave_purses_as_gift_s1 = 3
gave_purses_as_gift_s2 = 0

if gave_purses_as_gift_s1 is None or gave_purses_as_gift_s2 is None:
   print('neutral')

elif gave_purses_as_gift_s1 == gave_purses_as_gift_s2:
   print('Entailment')

elif gave_purses_as_gift_s1 != gave_purses_as_gift_s2:
  print('contradiction')
"
"If there are 25 males altogether, how many gerbils does Claire have?","If there are less than 85 males altogether, how many gerbils does Claire have?",Entailment,"total_males_s1 = 25
total_males_s2 = 85

if total_males_s1 is None or total_males_s2 is None:
   print('neutral')

elif total_males_s1 < total_males_s2:
   print('Entailment')

elif total_males_s1 != total_males_s2:
  print('contradiction')"
In a Private Company less than 50 Nos.,In a Private Company 20 Nos.,neutral,"private_company_number_s1 = None
private_company_number_s2 = 20

if private_company_number_s1 is None or private_company_number_s2 is None:
   print('neutral')

elif private_company_number_s1 == private_company_number_s2:
   print('Entailment')

elif private_company_number_s1 != private_company_number_s2:
  print('contradiction')
"
Martha has 5 dogs and 4 cats.,Martha has 3 dogs and 4 cats.,contradiction,"martha_has_dogs_s1 = 5
martha_has_dogs_s2 = 3

if martha_has_dogs_s1 is None or martha_has_dogs_s2 is None:
   print('neutral')

elif martha_has_dogs_s1 == martha_has_dogs_s2:
   print('Entailment')

elif martha_has_dogs_s1 != martha_has_dogs_s2:
  print('contradiction')"
There are 17 stations between Hyderabad and Bangalore.,There are less than 47 stations between Hyderabad and Bangalore.,Entailment,"total_stations_between_hyderabad_and_banglore_s1 = 17
total_stations_between_hyderabad_and_banglore_s2 = 47

if total_stations_between_hyderabad_and_banglore_s1 is None or total_stations_between_hyderabad_and_banglore_s2 is None:
   print('neutral')

elif total_stations_between_hyderabad_and_banglore_s1 < total_stations_between_hyderabad_and_banglore_s2:
   print('Entailment')

elif total_stations_between_hyderabad_and_banglore_s1 != total_stations_between_hyderabad_and_banglore_s2:
  print('contradiction')
"
Ganesh covers the distance from X to Y at an average speed of 44 Km/hr.,Ganesh covers the distance from X to Y at an average speed of more than 14 Km/hr.,Entailment,"speed_of_ganesh_s1 = 44
speed_of_ganesh_s2 = 14

if speed_of_ganesh_s1 is None or speed_of_ganesh_s2 is None:
   print('neutral')

elif speed_of_ganesh_s1 < speed_of_ganesh_s2:
   print('Entailment')

elif speed_of_ganesh_s1 != speed_of_ganesh_s2:
  print('contradiction')"
Sanoop bought 8 t-shirts at an average price (arithmetic mean) of Rs.,Sanoop bought more than 4 t-shirts at an average price (arithmetic mean) of Rs.,Entailment,"number_of_tshirt_sanoop_buys_s1 = 8
number_of_tshirt_sanoop_buys_s2 = 4

if number_of_tshirt_sanoop_buys_s1 is None or number_of_tshirt_sanoop_buys_s2 is None:
   print('neutral')

elif number_of_tshirt_sanoop_buys_s1 > number_of_tshirt_sanoop_buys_s2:
   print('Entailment')

elif number_of_tshirt_sanoop_buys_s1 != number_of_tshirt_sanoop_buys_s2:
  print('contradiction')
"
"Of the 30 Americans killed in the helicopter crash, 17 were Navy SEALs.",30 U.S. personnel were killed in the attack.,neutral,"killed_in_attack_s1 = None
killed_in_attack_s2 = 30

if killed_in_attack_s1 is None or killed_in_attack_s2 is None:
   print('neutral')

elif killed_in_attack_s1 == killed_in_attack_s2:
   print('Entailment')

elif killed_in_attack_s1 != killed_in_attack_s2:
  print('contradiction')"
Rosy is 40% more efficient than Mary.,Rosy is more than 30% more efficient than Mary.,Entailment,"efficiency_of_rosy_s1 = 40
efficiency_of_rosy_s2 = 30

if efficiency_of_rosy_s1 is None or efficiency_of_rosy_s2 is None:
   print('neutral')

elif efficiency_of_rosy_s1 > efficiency_of_rosy_s2:
   print('Entailment')

elif efficiency_of_rosy_s1 != efficiency_of_rosy_s2:
  print('contradiction')"
"6970, then what will be the share of Sameer in the profit?","more than 6970, then what will be the share of Sameer in the profit?",contradiction,"share_of_sameer_s1 = 6970
share_of_sameer_s2 = 0

if share_of_sameer_s1 is None or share_of_sameer_s2 is None:
   print('neutral')

elif share_of_sameer_s1 == share_of_sameer_s2:
   print('Entailment')

elif share_of_sameer_s1 != share_of_sameer_s2:
  print('contradiction')"
"'' It's fantastic,'' one soldier at the Pentagon said when CNN asked about the change.","'' Sanity has prevailed,'' says one soldier.",neutral,"soldier_number_s1 = None
soldier_number_s2 = 1

if soldier_number_s1 is None or soldier_number_s2 is None:
   print('neutral')

elif soldier_number_s1 == soldier_number_s2:
   print('Entailment')

elif soldier_number_s1 != soldier_number_s2:
  print('contradiction')"
Paul can dig the same well in less than 74 days.,Paul can dig the same well in 24 days.,neutral,"dig_well_in_days_s1 = None
dig_well_in_days_s2 = 24

if dig_well_in_days_s1 is None or dig_well_in_days_s2 is None:
   print('neutral')

elif dig_well_in_days_s1 == dig_well_in_days_s2:
   print('Entailment')

elif dig_well_in_days_s1 != dig_well_in_days_s2:
  print('contradiction')"
"The average number of shirts with Salman, Ambani and Dalmiya is more than 24, if all of them reached a shopping mall in Delhi and purchased 8 shirts each of them then average number of shirt each of them now has.","The average number of shirts with Salman, Ambani and Dalmiya is 54, if all of them reached a shopping mall in Delhi and purchased 8 shirts each of them then average number of shirt each of them now has.",neutral,"average_number_of_shirts_s1 = None
average_number_of_shirts_s2 = 54

if average_number_of_shirts_s1 is None or average_number_of_shirts_s2 is None:
   print('neutral')

elif average_number_of_shirts_s1 == average_number_of_shirts_s2:
   print('Entailment')

elif average_number_of_shirts_s1 != average_number_of_shirts_s2:
  print('contradiction')"
"Two were U.S. military personnel, and the third was Polish, a U.S. defense official said.","2 were U.S. military personnel, and the third was Polish, a source says.",Entailment,"number_of_us_personnel_s1 = 2
number_of_us_personnel_s2 = 2

if number_of_us_personnel_s1 is None or number_of_us_personnel_s2 is None:
   print('neutral')

elif number_of_us_personnel_s1 == number_of_us_personnel_s2:
   print('Entailment')

elif number_of_us_personnel_s1 != number_of_us_personnel_s2:
  print('contradiction')"
"If the distance between their homes is more than 30 kilometers, Maxwell's walking speed is 4 km/h, and Brad's running speed is 6 km/h, what is the distance traveled by Brad?","If the distance between their homes is 70 kilometers, Maxwell's walking speed is 4 km/h, and Brad's running speed is 6 km/h, what is the distance traveled by Brad?",neutral,"distance_between_homes_s1 = None
distance_between_homes_s2 = 70

if distance_between_homes_s1 is None or distance_between_homes_s2 is None:
   print('neutral')

elif distance_between_homes_s1 == distance_between_homes_s2:
   print('Entailment')

elif distance_between_homes_s1 != distance_between_homes_s2:
  print('contradiction')"
"Vincent bought 10.0 books about animals, 1.0 book about outer space, and 3.0 books about trains and he paid $16.0 for all the books combined.",The average price for 1.0 book is 1.14285714286.,Entailment,"average_price_of_books_s1 = 10+1+3/16
average_price_of_books_s2 = 1.14285714286

if average_price_of_books_s1 is None or average_price_of_books_s2 is None:
   print('neutral')

elif average_price_of_books_s1 == average_price_of_books_s2:
   print('Entailment')

elif average_price_of_books_s1 != average_price_of_books_s2:
  print('contradiction')"
"After 6 years, Arun’s age will be 26 years.","After less than 6 years, Arun’s age will be 26 years.",contradiction,"arun_age_after_years_s1 = 6
arun_age_after_years_s2 = 0

if arun_age_after_years_s1 is None or arun_age_after_years_s2 is None:
   print('neutral')

elif arun_age_after_years_s1 == arun_age_after_years_s2:
   print('Entailment')

elif arun_age_after_years_s1 != arun_age_after_years_s2:
  print('contradiction')"
"A company invited 18.0 people to a luncheon, but 12.0 of them didn't show up, and the tables they had held 3.0 people each.",They need 2.0 tables.,Entailment,"number_of_tshirt_sanoop_buys_s1 = 8
number_of_tshirt_sanoop_buys_s2 = 4

if number_of_tshirt_sanoop_buys_s1 is None or number_of_tshirt_sanoop_buys_s2 is None:
   print('neutral')

elif number_of_tshirt_sanoop_buys_s1 > number_of_tshirt_sanoop_buys_s2:
   print('Entailment')

elif number_of_tshirt_sanoop_buys_s1 != number_of_tshirt_sanoop_buys_s2:
  print('contradiction')
"
3450 from Anwar at 6% p.,4450 from Anwar at 6% p.,contradiction,"anwar_rate_s1 = 3450
anwar_rate_s2 = 4450

if anwar_rate_s1 is None or anwar_rate_s2 is None:
   print('neutral')

elif anwar_rate_s1 == anwar_rate_s2:
   print('Entailment')

elif anwar_rate_s1 != anwar_rate_s2:
  print('contradiction')
"
"The amount of outstanding fines range from 10,000 yuan ($1,600) up to 29 million yuan ($4.5 million).",The amount of outstanding fines listed are up to $4.5 million.,Entailment,"outstanding_files_s1 = 4.5
outstanding_files_s2 = 4.5

if outstanding_files_s1 is None or outstanding_files_s2 is None:
   print('neutral')

elif outstanding_files_s1 == outstanding_files_s2:
   print('Entailment')

elif outstanding_files_s1 != outstanding_files_s2:
  print('contradiction')"
Alyssa picked 42.0 pears from the pear tree and Nancy sold 17.0 of the pears.,21.0 pears were left.,contradiction,"pears_left_s1 = 42-17
pears_left_s2 = 21

if pears_left_s1 is None or pears_left_s2 is None:
   print('neutral')

elif pears_left_s1 == pears_left_s2:
   print('Entailment')

elif pears_left_s1 != pears_left_s2:
  print('contradiction')"
There are 14 stations between Hyderabad and Bangalore.,There are less than 74 stations between Hyderabad and Bangalore.,Entailment,"number_of_stations_between_hyderabad_s1 = 14
number_of_stations_between_hyderabad_s2 = 74

if number_of_stations_between_hyderabad_s1 is None or number_of_stations_between_hyderabad_s2 is None:
   print('neutral')

elif number_of_stations_between_hyderabad_s1 < number_of_stations_between_hyderabad_s2:
   print('Entailment')

elif number_of_stations_between_hyderabad_s1 != number_of_stations_between_hyderabad_s2:
  print('contradiction')"
"Two other marines, Tyler Jackson and John Jodka III, have already pleaded guilty to aggravated assault and conspiracy to obstruct justice and were sentenced to 21 months and 18 months, respectively.",Tyler Jackson has been sentenced to 18 months.,neutral,"jackson_sentenced_s1 = None
jackson_sentenced_s2 = 18

if jackson_sentenced_s1 is None or jackson_sentenced_s2 is None:
   print('neutral')

elif jackson_sentenced_s1 == jackson_sentenced_s2:
   print('Entailment')

elif jackson_sentenced_s1 != jackson_sentenced_s2:
  print('contradiction')"
"city A to city B, Andrew drove for less than 2 hour at 50 mph and for 3 hours at 60 mph.","city A to city B, Andrew drove for 1 hour at 50 mph and for 3 hours at 60 mph.",neutral,"hours_andrew_drove_s1 = None
hours_andrew_drove_s2 = 1

if hours_andrew_drove_s1 is None or hours_andrew_drove_s2 is None:
   print('neutral')

elif hours_andrew_drove_s1 == hours_andrew_drove_s2:
   print('Entailment')

elif hours_andrew_drove_s1 != hours_andrew_drove_s2:
  print('contradiction')"
"If John needs to pay exactly $128, what is the least number of bills he will need to use?","If John needs to pay exactly $328, what is the least number of bills he will need to use?",contradiction,"amount_john_needs_to_pay_s1 = 128
amount_john_needs_to_pay_s2 = 328

if amount_john_needs_to_pay_s1 is None or amount_john_needs_to_pay_s2 is None:
   print('neutral')

elif amount_john_needs_to_pay_s1 == amount_john_needs_to_pay_s2:
   print('Entailment')

elif amount_john_needs_to_pay_s1 != amount_john_needs_to_pay_s2:
  print('contradiction')"
"In a covering a distance of 30 km, Abhay takes 2 hours more than Sameer.","In a covering a distance of more than 30 km, Abhay takes 2 hours more than Sameer.",contradiction,"distacne_covered_s1 = 30
distacne_covered_s2 = 0

if distacne_covered_s1 is None or distacne_covered_s2 is None:
   print('neutral')

elif distacne_covered_s1 == distacne_covered_s2:
   print('Entailment')

elif distacne_covered_s1 != distacne_covered_s2:
  print('contradiction')"
Ashkelon lies 12 miles (19 km) north of Gaza.,Coastal city of Ashkelon is about 12 miles north of Gaza.,Entailment,"ashkelon_lies_for_area_s1 = 12
ashkelon_lies_for_area_s2 = 12

if ashkelon_lies_for_area_s1 is None or ashkelon_lies_for_area_s2 is None:
   print('neutral')

elif ashkelon_lies_for_area_s1 == ashkelon_lies_for_area_s2:
   print('Entailment')

elif ashkelon_lies_for_area_s1 != ashkelon_lies_for_area_s2:
  print('contradiction')"
"Kaleb saved 21 dollars, and got 15 dollars for his allowance and he gambles it and wins 6 times the amount.",He has 220.0 dollars now.,contradiction,"total_amount_s1 = 15*6
total_amount_s2 = 220

if total_amount_s1 is None or total_amount_s2 is None:
   print('neutral')

elif total_amount_s1 == total_amount_s2:
   print('Entailment')

elif total_amount_s1 != total_amount_s2:
  print('contradiction')"
Nitin borrowed some money at the rate of 6% p.,Nitin borrowed some money at the rate of 7% p.,contradiction,"rate_s1 = 6
rate_s2 = 7

if rate_s1 is None or rate_s2 is None:
   print('neutral')

elif rate_s1 == rate_s2:
   print('Entailment')

elif rate_s1 != rate_s2:
  print('contradiction')"
Jerry’s average (arithmetic mean) score on the first 3 of 4 tests is 94.,Jerry’s average (arithmetic mean) score on the first 5 of 4 tests is 94.,contradiction,"number_of_test_s1 = 3
number_of_test_s2 = 5

if number_of_test_s1 is None or number_of_test_s2 is None:
   print('neutral')

elif number_of_test_s1 == number_of_test_s2:
   print('Entailment')

elif number_of_test_s1 != number_of_test_s2:
  print('contradiction')"
"Romania currently supplies one of the world's largest contingents of troops in Iraq, with nearly 1000 people.",Romania sent 730 troops in Iraq.,neutral,"troops_in_iraq_s1 = None
troops_in_iraq_s2 = 730

if troops_in_iraq_s1 is None or troops_in_iraq_s2 is None:
   print('neutral')

elif troops_in_iraq_s1 == troops_in_iraq_s2:
   print('Entailment')

elif troops_in_iraq_s1 != troops_in_iraq_s2:
  print('contradiction')"
"In how many ways can you seat 4 people on a bench if one of them, Rohit, does not want to sit on the middle seat or at either end?","In how many ways can you seat more than 1 people on a bench if one of them, Rohit, does not want to sit on the middle seat or at either end?",Entailment,"number_of_people_can_sit_s1 = 4
number_of_people_can_sit_s2 = 1

if number_of_people_can_sit_s1 is None or number_of_people_can_sit_s2 is None:
   print('neutral')

elif number_of_people_can_sit_s1 > number_of_people_can_sit_s2:
   print('Entailment')

elif number_of_people_can_sit_s1 != number_of_people_can_sit_s2:
  print('contradiction')"
"The country's government has quarantined more than 4,700 pig and poultry farms.","More than 4,700 German poultry and pig farms are quarantined.",Entailment,"number_of_pigs_quarantined_s1 = 4700
number_of_pigs_quarantined_s2 = 4700

if number_of_pigs_quarantined_s1 is None or number_of_pigs_quarantined_s2 is None:
   print('neutral')

elif number_of_pigs_quarantined_s1 < number_of_pigs_quarantined_s2:
   print('Entailment')

elif number_of_pigs_quarantined_s1 != number_of_pigs_quarantined_s2:
  print('contradiction')"
"Switzerland remains on three points, while Ecuador rose to three and leapfrogged Switzerland on goal difference by later defeating Honduras 2-1.",Ecuador collects first win in group by beating Honduras 2-1 in Curitiba.,neutral,"defeating_hondour_s1 = None
defeating_hondour_s2 = 2-1

if defeating_hondour_s1 is None or defeating_hondour_s2 is None:
   print('neutral')

elif defeating_hondour_s1 == defeating_hondour_s2:
   print('Entailment')

elif defeating_hondour_s1 != defeating_hondour_s2:
  print('contradiction')"
"If the three started to fish together and after 40 minutes Mike and Bob left, how many fish did the three fishermen catch in one hour?","If the three started to fish together and after more than 40 minutes Mike and Bob left, how many fish did the three fishermen catch in one hour?",contradiction,"time_after_mike_and_bob_left_s1 = 40
time_after_mike_and_bob_left_s2 = 0

if time_after_mike_and_bob_left_s1 is None or time_after_mike_and_bob_left_s2 is None:
   print('neutral')

elif time_after_mike_and_bob_left_s1 == time_after_mike_and_bob_left_s2:
   print('Entailment')

elif time_after_mike_and_bob_left_s1 != time_after_mike_and_bob_left_s2:
  print('contradiction')"
Carina has 70 ounces of coffee divided into 5-and 10-ounce packages.,Carina has less than 70 ounces of coffee divided into 5-and 10-ounce packages.,contradiction,"ounces_of_coffee_s1 = 70
ounces_of_coffee_s2 = 0

if ounces_of_coffee_s1 is None or ounces_of_coffee_s2 is None:
   print('neutral')

elif ounces_of_coffee_s1 == ounces_of_coffee_s2:
   print('Entailment')

elif ounces_of_coffee_s1 != ounces_of_coffee_s2:
  print('contradiction')"
Carol collects 5.0 peanuts and she gives her father 2.0.,Carol has 3.0 peanuts left.,Entailment,"peanuts_carol_has_s1 = 5-2
peanuts_carol_has_s2 = 3

if peanuts_carol_has_s1 is None or peanuts_carol_has_s2 is None:
   print('neutral')

elif peanuts_carol_has_s1 == peanuts_carol_has_s2:
   print('Entailment')

elif peanuts_carol_has_s1 != peanuts_carol_has_s2:
  print('contradiction')
"
Sam ranked more than 8 th from the top and 38 th from the bottom in a class.,Sam ranked 9 th from the top and 38 th from the bottom in a class.,neutral,"sam_ranked_in_class_s1 = None
sam_ranked_in_class_s2 = 9

if sam_ranked_in_class_s1 is None or sam_ranked_in_class_s2 is None:
   print('neutral')

elif sam_ranked_in_class_s1 == sam_ranked_in_class_s2:
   print('Entailment')

elif sam_ranked_in_class_s1 != sam_ranked_in_class_s2:
  print('contradiction')
"
How many years will it take John’s investment to double at a simple interest rate of 4% per annum.,How many years will it take John’s investment to double at a simple interest rate of less than 8% per annum.,Entailment,"rate_of_intererst_s1 = 4
rate_of_intererst_s2 = 8

if rate_of_intererst_s1 is None or rate_of_intererst_s2 is None:
   print('neutral')

elif rate_of_intererst_s1 < rate_of_intererst_s2:
   print('Entailment')

elif rate_of_intererst_s1 != rate_of_intererst_s2:
  print('contradiction')"
"The farmers reported that they harvest 45.0 sacks of apples from an orchard that comprises 8.0 sections, and the same amount of apples is harvested from each section.",5.625 sacks are harvested from a section.,Entailment,"number_of_sectins_s1 = 45/8
number_of_sectins_s2 = 5.625

if number_of_sectins_s1 is None or number_of_sectins_s2 is None:
   print('neutral')

elif number_of_sectins_s1 < number_of_sectins_s2:
   print('Entailment')

elif number_of_sectins_s1 != number_of_sectins_s2:
  print('contradiction')
"
There are 28 stations between Ernakulam and Chennai.,There are more than 28 stations between Ernakulam and Chennai.,contradiction,"total_station_between_ernakulam_and_chennai_s1 = 28
total_station_between_ernakulam_and_chennai_s2 = 0

if total_station_between_ernakulam_and_chennai_s1 is None or total_station_between_ernakulam_and_chennai_s2 is None:
   print('neutral')

elif total_station_between_ernakulam_and_chennai_s1 == total_station_between_ernakulam_and_chennai_s2:
   print('Entailment')

elif total_station_between_ernakulam_and_chennai_s1 != total_station_between_ernakulam_and_chennai_s2:
  print('contradiction')"
There are 4.0 cards and 3.0 cards more are added.,7.0 cards are there total.,Entailment,"total_cards_s1 = 4+3
total_cards_s2 = 7

if total_cards_s1 is None or total_cards_s2 is None:
   print('neutral')

elif total_cards_s1 == total_cards_s2:
   print('Entailment')

elif total_cards_s1 != total_cards_s2:
  print('contradiction')"
