premise,hypothesis,label,sample_index
"Sarah signed 1 / 2 of the Christmas cards , and Richard signed 3 / 8 of them","Sarah signed less than 3 / 2 of the Christmas cards , and Richard signed 3 / 8 of them",entailment,48
"Sarah signed less than 3 / 2 of the Christmas cards , and Richard signed 3 / 8 of them","Sarah signed 1 / 2 of the Christmas cards , and Richard signed 3 / 8 of them",neutral,49
"Sarah signed 1 / 2 of the Christmas cards , and Richard signed 3 / 8 of them","Sarah signed 6 / 2 of the Christmas cards , and Richard signed 3 / 8 of them",contradiction,50
Bruce and Bhishma are running on a circular track of length 600 m,Bruce and Bhishma are running on a circular track of length less than 800 m,entailment,51
Bruce and Bhishma are running on a circular track of length less than 800 m,Bruce and Bhishma are running on a circular track of length 600 m,neutral,52
Bruce and Bhishma are running on a circular track of length 600 m,Bruce and Bhishma are running on a circular track of length less than 600 m,contradiction,53
Speed of Bruce is 30 m / s and that of Bhishma is 20 m / s,Speed of Bruce is less than 60 m / s and that of Bhishma is 20 m / s,entailment,54
Speed of Bruce is less than 60 m / s and that of Bhishma is 20 m / s,Speed of Bruce is 30 m / s and that of Bhishma is 20 m / s,neutral,55
Speed of Bruce is 30 m / s and that of Bhishma is 20 m / s,Speed of Bruce is 60 m / s and that of Bhishma is 20 m / s,contradiction,56
"If Dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does Dave have exactly five choices ?","If Dave has more than one of each of the listed garments , and can make more than 1400 different outfits , then for how many garments does Dave have exactly five choices ?",entailment,57
"If Dave has more than one of each of the listed garments , and can make more than 1400 different outfits , then for how many garments does Dave have exactly five choices ?","If Dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does Dave have exactly five choices ?",neutral,58
"If Dave has more than one of each of the listed garments , and can make 2400 different outfits , then for how many garments does Dave have exactly five choices ?","If Dave has more than one of each of the listed garments , and can make more than 2400 different outfits , then for how many garments does Dave have exactly five choices ?",contradiction,59
"In Arun ' s company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","In Arun ' s company more than 50 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",entailment,60
"In Arun ' s company more than 50 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","In Arun ' s company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",neutral,61
"In Arun ' s company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","In Arun ' s company 40 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",contradiction,62
He works at it for 20 days and then Rajesh finished it in 30 days,He works at it for less than 60 days and then Rajesh finished it in 30 days,entailment,63
He works at it for less than 60 days and then Rajesh finished it in 30 days,He works at it for 20 days and then Rajesh finished it in 30 days,neutral,64
He works at it for 20 days and then Rajesh finished it in 30 days,He works at it for 50 days and then Rajesh finished it in 30 days,contradiction,65
"On a 20 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour","On a less than 80 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour",entailment,66
"On a less than 80 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour","On a 20 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour",neutral,67
"On a 20 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour","On a 60 mile course , Pat bicycled at an average rate of 30 miles per hour for the first 12 minutes and without a break , ran the rest of the distance at an average rate of 8 miles per hour",contradiction,68
Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of less than 80 kmph and from city B to city C at 60 kmph,entailment,69
Murali travelled from city A to city B at a speed of less than 80 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,neutral,70
Murali travelled from city A to city B at a speed of 40 kmph and from city B to city C at 60 kmph,Murali travelled from city A to city B at a speed of more than 40 kmph and from city B to city C at 60 kmph,contradiction,71
"What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 2 : 3 ?
A",What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is less than 6 : 3 ? A,entailment,72
What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is less than 6 : 3 ? A,"What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 2 : 3 ?
A",neutral,73
"What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 2 : 3 ?
A",What is the average speed of Murali from A to C given that the ratio of distances between A to B and B to C is 5 : 3 ? A,contradiction,74
"Efrida and Frazer who live 12 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home","Efrida and Frazer who live less than 62 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home",entailment,75
"Efrida and Frazer who live less than 62 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home","Efrida and Frazer who live 12 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home",neutral,76
"Efrida and Frazer who live 12 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home","Efrida and Frazer who live more than 12 miles apart , meet at a restaurant that is directly north of Efrida ' s home and directly east of Frazer ' s home",contradiction,77
"If Henry were to add 9 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full","If Henry were to add more than 8 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full",entailment,78
"If Henry were to add more than 8 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full","If Henry were to add 9 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full",neutral,79
"If Henry were to add 9 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full","If Henry were to add more than 9 gallons of water to a tank that is already 3 / 4 full of water , the tank would be 7 / 8 full",contradiction,80
Jerry alone cleans the entire house in 6 hours,Jerry alone cleans the entire house in more than 4 hours,entailment,81
Jerry alone cleans the entire house in more than 4 hours,Jerry alone cleans the entire house in 6 hours,neutral,82
Jerry alone cleans the entire house in 6 hours,Jerry alone cleans the entire house in less than 6 hours,contradiction,83
"In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other 100 are China","In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other less than 300 are China",entailment,84
"In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other less than 300 are China","In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other 100 are China",neutral,85
"In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other 100 are China","In Richard ' s office one half of the workers are Indians , quarter are from America , one - fifth are from Canada and the other more than 100 are China",contradiction,86
Lucy deposited $ 67600 in an investment fund that provided 16 percent annual return compounded quarterly,Lucy deposited $ more than 27600 in an investment fund that provided 16 percent annual return compounded quarterly,entailment,87
Lucy deposited $ more than 27600 in an investment fund that provided 16 percent annual return compounded quarterly,Lucy deposited $ 67600 in an investment fund that provided 16 percent annual return compounded quarterly,neutral,88
Lucy deposited $ 67600 in an investment fund that provided 16 percent annual return compounded quarterly,Lucy deposited $ 47600 in an investment fund that provided 16 percent annual return compounded quarterly,contradiction,89
John was thrice as old as Tom 6 yrs back,John was thrice as old as Tom more than 3 yrs back,entailment,90
John was thrice as old as Tom more than 3 yrs back,John was thrice as old as Tom 6 yrs back,neutral,91
John was thrice as old as Tom 6 yrs back,John was thrice as old as Tom 1 yrs back,contradiction,92
He will be 5 / 3 times as old as Tom 6 years hence,He will be less than 8 / 3 times as old as Tom 6 years hence,entailment,93
He will be less than 8 / 3 times as old as Tom 6 years hence,He will be 5 / 3 times as old as Tom 6 years hence,neutral,94
He will be 5 / 3 times as old as Tom 6 years hence,He will be 1 / 3 times as old as Tom 6 years hence,contradiction,95
Warner Limited has 4 Senior Managing Directors and 6 Managing Directors,Warner Limited has less than 8 Senior Managing Directors and 6 Managing Directors,entailment,96
Warner Limited has less than 8 Senior Managing Directors and 6 Managing Directors,Warner Limited has 4 Senior Managing Directors and 6 Managing Directors,neutral,97
Warner Limited has 4 Senior Managing Directors and 6 Managing Directors,Warner Limited has 8 Senior Managing Directors and 6 Managing Directors,contradiction,98
"The 42 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations","The more than 22 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations",entailment,99
"The more than 22 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations","The 42 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations",neutral,100
"The 42 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations","The less than 42 parents participating in the Smithville PTA have been assigned to at least 1 of 3 committees : festival planning , classroom aid , and teacher relations",contradiction,101
"In Kaya ' s teacher ' s desk there are 4 pink highlighters , 2 yellow highlighters , and 5 blue highlighters","In Kaya ' s teacher ' s desk there are more than 3 pink highlighters , 2 yellow highlighters , and 5 blue highlighters",entailment,102
"In Kaya ' s teacher ' s desk there are more than 3 pink highlighters , 2 yellow highlighters , and 5 blue highlighters","In Kaya ' s teacher ' s desk there are 4 pink highlighters , 2 yellow highlighters , and 5 blue highlighters",neutral,103
"In Kaya ' s teacher ' s desk there are 4 pink highlighters , 2 yellow highlighters , and 5 blue highlighters","In Kaya ' s teacher ' s desk there are 3 pink highlighters , 2 yellow highlighters , and 5 blue highlighters",contradiction,104
Kishore saved 10 % of his monthly salary,Kishore saved less than 50 % of his monthly salary,entailment,105
Kishore saved less than 50 % of his monthly salary,Kishore saved 10 % of his monthly salary,neutral,106
Kishore saved 10 % of his monthly salary,Kishore saved more than 10 % of his monthly salary,contradiction,107
"John completes a piece of work in 320 days , Rose completes the same work in 480 days","John completes a piece of work in more than 120 days , Rose completes the same work in 480 days",entailment,108
"John completes a piece of work in more than 120 days , Rose completes the same work in 480 days","John completes a piece of work in 320 days , Rose completes the same work in 480 days",neutral,109
"John completes a piece of work in 320 days , Rose completes the same work in 480 days","John completes a piece of work in more than 320 days , Rose completes the same work in 480 days",contradiction,110
Bruce and Anne can clean their house in 4 hours working together at their respective constant rates,Bruce and Anne can clean their house in more than 1 hours working together at their respective constant rates,entailment,111
Bruce and Anne can clean their house in more than 1 hours working together at their respective constant rates,Bruce and Anne can clean their house in 4 hours working together at their respective constant rates,neutral,112
Bruce and Anne can clean their house in 4 hours working together at their respective constant rates,Bruce and Anne can clean their house in 6 hours working together at their respective constant rates,contradiction,113
"If Anne ’ s speed were doubled , they could clean their house in 3 hours working at their respective rates","If Anne ’ s speed were doubled , they could clean their house in less than 6 hours working at their respective rates",entailment,114
"If Anne ’ s speed were doubled , they could clean their house in less than 6 hours working at their respective rates","If Anne ’ s speed were doubled , they could clean their house in 3 hours working at their respective rates",neutral,115
"If Anne ’ s speed were doubled , they could clean their house in 3 hours working at their respective rates","If Anne ’ s speed were doubled , they could clean their house in 2 hours working at their respective rates",contradiction,116
"In the city of San Durango , 90 people own cats , dogs , or rabbits","In the city of San Durango , more than 10 people own cats , dogs , or rabbits",entailment,117
"In the city of San Durango , more than 10 people own cats , dogs , or rabbits","In the city of San Durango , 90 people own cats , dogs , or rabbits",neutral,118
"In the city of San Durango , 90 people own cats , dogs , or rabbits","In the city of San Durango , more than 90 people own cats , dogs , or rabbits",contradiction,119
"The total of the ages of Amar , Akbar and Anthony is 40 years","The total of the ages of Amar , Akbar and Anthony is less than 70 years",entailment,120
"The total of the ages of Amar , Akbar and Anthony is less than 70 years","The total of the ages of Amar , Akbar and Anthony is 40 years",neutral,121
"The total of the ages of Amar , Akbar and Anthony is 40 years","The total of the ages of Amar , Akbar and Anthony is 80 years",contradiction,122
Ayesha ' s father was 34 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,Ayesha ' s father was more than 24 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,entailment,123
Ayesha ' s father was more than 24 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,Ayesha ' s father was 34 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,neutral,124
Ayesha ' s father was 34 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,Ayesha ' s father was 14 years of age when she was born while her mother was 30 years old when her brother four years younger to her was born,contradiction,125
How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for less than 7 years at 4 % per annum simple interest ?,entailment,126
How much loss would Indu has suffered had she given it to Bindu for less than 7 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,neutral,127
How much loss would Indu has suffered had she given it to Bindu for 2 years at 4 % per annum simple interest ?,How much loss would Indu has suffered had she given it to Bindu for 7 years at 4 % per annum simple interest ?,contradiction,128
John was thrice as old as Tom 6 years ago,John was thrice as old as Tom more than 2 years ago,entailment,129
John was thrice as old as Tom more than 2 years ago,John was thrice as old as Tom 6 years ago,neutral,130
John was thrice as old as Tom 6 years ago,John was thrice as old as Tom 1 years ago,contradiction,131
John will be 2 times as old as Tom in 4 years,John will be less than 6 times as old as Tom in 4 years,entailment,132
John will be less than 6 times as old as Tom in 4 years,John will be 2 times as old as Tom in 4 years,neutral,133
John will be 2 times as old as Tom in 4 years,John will be 8 times as old as Tom in 4 years,contradiction,134
"Jose joined him 2 months later , investing Rs","Jose joined him less than 6 months later , investing Rs",entailment,135
"Jose joined him less than 6 months later , investing Rs","Jose joined him 2 months later , investing Rs",neutral,136
"Jose joined him 2 months later , investing Rs","Jose joined him 8 months later , investing Rs",contradiction,137
Shreehari has 500 chocolates in his self,Shreehari has more than 200 chocolates in his self,entailment,138
Shreehari has more than 200 chocolates in his self,Shreehari has 500 chocolates in his self,neutral,139
Shreehari has 500 chocolates in his self,Shreehari has less than 500 chocolates in his self,contradiction,140
"David obtained 76 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology","David obtained less than 86 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology",entailment,141
"David obtained less than 86 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology","David obtained 76 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology",neutral,142
"David obtained 76 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology","David obtained 86 , 65 , 82 , 67 and 85 marks ( out in 100 ) in English , Mathematics , Physics , Chemistry and Biology",contradiction,143
Andy solves problems 78 to 125 inclusive in a Math exercise,Andy solves problems more than 28 to 125 inclusive in a Math exercise,entailment,144
Andy solves problems more than 28 to 125 inclusive in a Math exercise,Andy solves problems 78 to 125 inclusive in a Math exercise,neutral,145
Andy solves problems 78 to 125 inclusive in a Math exercise,Andy solves problems less than 78 to 125 inclusive in a Math exercise,contradiction,146
"The next day , Bob took the test , and with this grade included , the new average was 78","The next day , Bob took the test , and with this grade included , the new average was more than 48",entailment,147
"The next day , Bob took the test , and with this grade included , the new average was more than 48","The next day , Bob took the test , and with this grade included , the new average was 78",neutral,148
"The next day , Bob took the test , and with this grade included , the new average was 78","The next day , Bob took the test , and with this grade included , the new average was less than 78",contradiction,149
"What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least 10 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?","What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least less than 40 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?",entailment,150
"What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least less than 40 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?","What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least 10 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?",neutral,151
"What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least 10 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?","What is the minimum number of packages of Aero flight tees Bill must purchase to ensure that he has at least less than 10 golf tees for each member of his foursome , if he will buy no more than 2 packages of the generic golf tees ?",contradiction,152
Fred and Sam are standing 50 miles apart and they start walking in a straight line toward each other at the same time,Fred and Sam are standing less than 70 miles apart and they start walking in a straight line toward each other at the same time,entailment,153
Fred and Sam are standing less than 70 miles apart and they start walking in a straight line toward each other at the same time,Fred and Sam are standing 50 miles apart and they start walking in a straight line toward each other at the same time,neutral,154
Fred and Sam are standing 50 miles apart and they start walking in a straight line toward each other at the same time,Fred and Sam are standing more than 50 miles apart and they start walking in a straight line toward each other at the same time,contradiction,155
"If Fred walks at a constant speed of 5 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?","If Fred walks at a constant speed of more than 1 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?",entailment,156
"If Fred walks at a constant speed of more than 1 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?","If Fred walks at a constant speed of 5 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?",neutral,157
"If Fred walks at a constant speed of 5 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?","If Fred walks at a constant speed of 8 miles per hour and Sam walks at a constant speed of 5 miles per hour , how many miles has Sam walked when they meet ?",contradiction,158
Joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 90,Joe ’ s average ( arithmetic mean ) test score across less than 6 equally weighted tests was 90,entailment,159
Joe ’ s average ( arithmetic mean ) test score across less than 6 equally weighted tests was 90,Joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 90,neutral,160
Joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 90,Joe ’ s average ( arithmetic mean ) test score across 2 equally weighted tests was 90,contradiction,161
He works at it for 20 days and then Rajesh finished it in 30 days,He works at it for less than 30 days and then Rajesh finished it in 30 days,entailment,162
He works at it for less than 30 days and then Rajesh finished it in 30 days,He works at it for 20 days and then Rajesh finished it in 30 days,neutral,163
He works at it for 20 days and then Rajesh finished it in 30 days,He works at it for 70 days and then Rajesh finished it in 30 days,contradiction,164
"In how many ways can you seat 7 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?","In how many ways can you seat more than 1 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?",entailment,165
"In how many ways can you seat more than 1 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?","In how many ways can you seat 7 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?",neutral,166
"In how many ways can you seat 7 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?","In how many ways can you seat less than 7 people on a bench if one of them , Rohit , does not want to sit on the middle seat or at either end ?",contradiction,167
"In Lulu company 60 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year","In Lulu company more than 20 % of the employees earn less than $ 50,000 a year , 60 % of the employees earn more than $ 40,000 a year , 11 % of the employees earn $ 43,000 a year and 5 % of the employees earn $ 49,000 a year",entailment,168
