premise,hypothesis,label,sample_index
A restaurant made 9.0 hamburgers to serve during lunch and only 3.0 were actually served.,3.0 hamburgers were left over from lunch.,contradiction,37
There are 7.0 crayons in the drawer and Mary took 3.0 crayons out of the drawer.,4.0 crayons are there now.,entailment,38
There are 7.0 crayons in the drawer and Mary took 3.0 crayons out of the drawer.,0.0 crayons are there now.,contradiction,39
There are 46.0 rulers in the drawer and Tim took 25.0 rulers from the drawer.,21.0 rulers are now in the drawer.,entailment,40
There are 46.0 rulers in the drawer and Tim took 25.0 rulers from the drawer.,22.0 rulers are now in the drawer.,contradiction,41
Sara got fast food for lunch and Sara spent $5.36 on a hotdog and $5.1 on a salad.,The total of the lunch bill is 10.46.,entailment,42
Sara got fast food for lunch and Sara spent $5.36 on a hotdog and $5.1 on a salad.,The total of the lunch bill is 6.6.,contradiction,43
"There were originally 20817.0 houses in Lincoln County and During a housing boom, developers built 97741.0.",118558.0 houses are there now in Lincoln County.,entailment,44
"There were originally 20817.0 houses in Lincoln County and During a housing boom, developers built 97741.0.",118560.0 houses are there now in Lincoln County.,contradiction,45
"Each year, salmon travel upstream, going from the ocean to the rivers where they were born and this year, 712261.0 male and 259378.0 female salmon returned to their rivers.",971639.0 salmon made the trip.,entailment,46
"Each year, salmon travel upstream, going from the ocean to the rivers where they were born and this year, 712261.0 male and 259378.0 female salmon returned to their rivers.",971642.0 salmon made the trip.,contradiction,47
"A bathing suit manufacturer has a supply of 14797.0 bathing suits for men and in addition, it has 4969.0 bathing suits for women.",19766.0 bathing suits are available overall.,entailment,48
"A bathing suit manufacturer has a supply of 14797.0 bathing suits for men and in addition, it has 4969.0 bathing suits for women.",19770.0 bathing suits are available overall.,contradiction,49
"So far, an orchard has sold a combined total of 9792.0 pounds of fresh and frozen fruit this season, and they have sold 3513.0 pounds of frozen fruit.",6279.0 pounds of fresh fruit have been sold so far.,entailment,50
"So far, an orchard has sold a combined total of 9792.0 pounds of fresh and frozen fruit this season, and they have sold 3513.0 pounds of frozen fruit.",6280.0 pounds of fresh fruit have been sold so far.,contradiction,51
Each of farmer Cunningham's 6048.0 lambs is either black or white and there are 193.0 white ones.,5855.0 of Farmer Cunningham's lambs are black.,entailment,52
Each of farmer Cunningham's 6048.0 lambs is either black or white and there are 193.0 white ones.,5854.0 of Farmer Cunningham's lambs are black.,contradiction,53
"A treasure hunter discovered a buried treasure chest filled with a total of 5155.0 gems and 45.0 of the gems were diamonds, and the rest were rubies.",5110.0 of the gems were rubies.,entailment,54
"A treasure hunter discovered a buried treasure chest filled with a total of 5155.0 gems and 45.0 of the gems were diamonds, and the rest were rubies.",5108.0 of the gems were rubies.,contradiction,55
"1.0 evening, a restaurant served a total of 0.5 loaf of wheat bread and 0.4 loaf of white bread.",0.9 loaves were served in all.,entailment,56
"1.0 evening, a restaurant served a total of 0.5 loaf of wheat bread and 0.4 loaf of white bread.",1.2 loaves were served in all.,contradiction,57
"A renovation project required 0.16666666666666666 truck-load of sand, 0.3333333333333333 truck-load of dirt, and 0.16666666666666666 truck-load of cement.",0.6666666667 truck-loads of material were needed in all.,entailment,58
"A renovation project required 0.16666666666666666 truck-load of sand, 0.3333333333333333 truck-load of dirt, and 0.16666666666666666 truck-load of cement.",1.1 truck-loads of material were needed in all.,contradiction,59
"Karin's science class weighed plastic rings for an experiment and they found that the orange ring weighed 0.08333333333333333 ounce, the purple ring weighed 0.3333333333333333 ounce, and the white ring weighed 0.4166666666666667 ounce.",The total weight of the plastic rings is 0.8333333333.,entailment,60
"Karin's science class weighed plastic rings for an experiment and they found that the orange ring weighed 0.08333333333333333 ounce, the purple ring weighed 0.3333333333333333 ounce, and the white ring weighed 0.4166666666666667 ounce.",The total weight of the plastic rings is 2.5.,contradiction,61
"Sally had 39.0 baseball cards, and 9.0 were torn and Sara bought 24.0 of Sally's baseball cards.",Sally has 15.0 baseball cards now.,entailment,62
"Sally had 39.0 baseball cards, and 9.0 were torn and Sara bought 24.0 of Sally's baseball cards.",Sally has 14.0 baseball cards now.,contradiction,63
Mike had 33.0 quarters and 87.0 nickels in his bank and his dad borrowed 75.0 nickels from Mike.,He has 12.0 nickels now.,entailment,64
Mike had 33.0 quarters and 87.0 nickels in his bank and his dad borrowed 75.0 nickels from Mike.,He has 14.0 nickels now.,contradiction,65
"Alyssa picked 25.0 limes, and Mike picked 32.0 limes and Tom picked 12.0 plums.",57.0 limes were picked in all.,entailment,66
"Alyssa picked 25.0 limes, and Mike picked 32.0 limes and Tom picked 12.0 plums.",61.0 limes were picked in all.,contradiction,67
Sara had 100.0 pennies and 783.0 quarters in her bank and her dad borrowed 271.0 quarters from Sara.,She has 512.0 quarters now.,entailment,68
Sara had 100.0 pennies and 783.0 quarters in her bank and her dad borrowed 271.0 quarters from Sara.,She has 513.0 quarters now.,contradiction,69
A restaurant made 9.0 hamburgers and 4.0 hot dogs to serve during lunch and only 3.0 hamburgers were actually served.,6.0 hamburgers were left over.,entailment,70
A restaurant made 9.0 hamburgers and 4.0 hot dogs to serve during lunch and only 3.0 hamburgers were actually served.,10.0 hamburgers were left over.,contradiction,71
Melanie picked 7.0 plums and 4.0 oranges from the orchard and she gave 3.0 plums to Sam.,She has 4.0 plums now.,entailment,72
Melanie picked 7.0 plums and 4.0 oranges from the orchard and she gave 3.0 plums to Sam.,She has 8.0 plums now.,contradiction,73
Jason has 7.0 violet balloons and 4.0 red balloons and he lost 3.0 of the violet balloons.,Jason has 4.0 violet balloons now.,entailment,74
Jason has 7.0 violet balloons and 4.0 red balloons and he lost 3.0 of the violet balloons.,Jason has 3.0 violet balloons now.,contradiction,75
"Dan spent $11.76 on a snake toy, and a cage cost him $14.54 and Dan also found a dollar bill on the ground.",The total cost of Dan's purchases is 26.3.,entailment,76
"Dan spent $11.76 on a snake toy, and a cage cost him $14.54 and Dan also found a dollar bill on the ground.",The total cost of Dan's purchases is 23.9.,contradiction,77
A restaurant served 7.0 slices of pie during lunch and 5.0 during dinner today and it served 8.0 of them yesterday.,12.0 slices of pie were served today.,entailment,78
A restaurant served 7.0 slices of pie during lunch and 5.0 during dinner today and it served 8.0 of them yesterday.,11.0 slices of pie were served today.,contradiction,79
"Mike picked 7.0 apples, Nancy picked 3.0 apples, and Keith picked 6.0 apples and 4.0 pears, at the farm.",16.0 apples were picked in total.,entailment,80
"Mike picked 7.0 apples, Nancy picked 3.0 apples, and Keith picked 6.0 apples and 4.0 pears, at the farm.",20.0 apples were picked in total.,contradiction,81
"Mary had 33.0 Pokemon cards, and 6.0 were torn and Sam gave Mary 23.0 new Pokemon cards.",Mary has 56.0 Pokemon cards now.,entailment,82
"Mary had 33.0 Pokemon cards, and 6.0 were torn and Sam gave Mary 23.0 new Pokemon cards.",Mary has 57.0 Pokemon cards now.,contradiction,83
Sally has 9.0 orange balloons and 4.0 blue balloons and she lost 2.0 of the orange balloons.,Sally has 7.0 orange balloons now.,entailment,84
Sally has 9.0 orange balloons and 4.0 blue balloons and she lost 2.0 of the orange balloons.,Sally has 8.0 orange balloons now.,contradiction,85
There are 7.0 bottle caps in a box and Linda puts 7.0 more bottle caps inside.,14.0 bottle caps are in the box.,entailment,86
There are 7.0 bottle caps in a box and Linda puts 7.0 more bottle caps inside.,18.0 bottle caps are in the box.,contradiction,87
There are 4.0 cards and 3.0 cards more are added.,7.0 cards are there total.,entailment,88
There are 4.0 cards and 3.0 cards more are added.,11.0 cards are there total.,contradiction,89
Denise removes 5.0 bananas from a jar and there were originally 46.0 bananas in the jar.,41.0 bananas are left in the jar.,entailment,90
Denise removes 5.0 bananas from a jar and there were originally 46.0 bananas in the jar.,42.0 bananas are left in the jar.,contradiction,91
There are 47.0 eggs in a box and Harry takes 5.0 eggs.,42.0 eggs are left.,entailment,92
There are 47.0 eggs in a box and Harry takes 5.0 eggs.,41.0 eggs are left.,contradiction,93
There are 3.0 eggs in each box.,6.0 eggs are in 2.0 boxes.,entailment,94
There are 3.0 eggs in each box.,2.0 eggs are in 2.0 boxes.,contradiction,95
"Each child has 3.0 oranges, and there are 4.0 children.",12.0 oranges are there in total.,entailment,96
"Each child has 3.0 oranges, and there are 4.0 children.",9.0 oranges are there in total.,contradiction,97
The school is planning a field trip and there are 14.0 students and 2.0 seats on each school bus.,7.0 buses are needed to take the trip.,entailment,98
The school is planning a field trip and there are 14.0 students and 2.0 seats on each school bus.,4.0 buses are needed to take the trip.,contradiction,99
"Jesse has 21.0 bananas, and he shares them among 3.0 friends.",Each friend gets 7.0 bananas.,entailment,100
"Jesse has 21.0 bananas, and he shares them among 3.0 friends.",Each friend gets 2.0 bananas.,contradiction,101
Ashley sold 12.0 boxes of Samoas.,"Ashley needed 1.0 cases of 12.0 boxes, plus extra boxes.",entailment,102
Ashley sold 12.0 boxes of Samoas.,"Ashley needed 0.0 cases of 12.0 boxes, plus extra boxes.",contradiction,103
Karen sold 36.0 boxes of Tagalongs.,Karen picked up 3.0 cases of 12.0 boxes.,entailment,104
Karen sold 36.0 boxes of Tagalongs.,Karen picked up 6.0 cases of 12.0 boxes.,contradiction,105
Jenny sold 24.0 boxes of Trefoils.,"Jenny needed 3.0 cases of 8.0 boxes, plus extra boxes.",entailment,106
Jenny sold 24.0 boxes of Trefoils.,"Jenny needed 1.0 cases of 8.0 boxes, plus extra boxes.",contradiction,107
Shirley sold 20.0 boxes of Do-Si-Dos.,"Shirley needed 5.0 cases of 4.0 boxes, plus extra boxes.",entailment,108
Shirley sold 20.0 boxes of Do-Si-Dos.,"Shirley needed 3.0 cases of 4.0 boxes, plus extra boxes.",contradiction,109
"Rose has 9.0 apples and 12.0 erasers, and she shares the apples among 3.0 friends.",Each friend got 3.0 apples.,entailment,110
"Rose has 9.0 apples and 12.0 erasers, and she shares the apples among 3.0 friends.",Each friend got 7.0 apples.,contradiction,111
"Joshua has 40.0 Skittles and 6.0 eggs, and he shares the Skittles among 5.0 friends.",Each friend got 8.0 Skittles.,entailment,112
"Joshua has 40.0 Skittles and 6.0 eggs, and he shares the Skittles among 5.0 friends.",Each friend got 12.0 Skittles.,contradiction,113
Charles strolled 6.0 miles at 3.0 miles per hour.,Charles travelled for 2.0 hours.,entailment,114
Charles strolled 6.0 miles at 3.0 miles per hour.,Charles travelled for 0.0 hours.,contradiction,115
Teresa jogged 25.0 kilometers at 5.0 kilometers per hour.,Teresa jogged for 5.0 hours.,entailment,116
Teresa jogged 25.0 kilometers at 5.0 kilometers per hour.,Teresa jogged for 4.0 hours.,contradiction,117
Benjamin skated 80.0 kilometers at 10.0 kilometers per hour.,Benjamin skated for 8.0 hours.,entailment,118
Benjamin skated 80.0 kilometers at 10.0 kilometers per hour.,Benjamin skated for 10.0 hours.,contradiction,119
Heather bicycled 40.0 kilometers at 8.0 kilometers per hour.,Heather bicycled for 5.0 hours.,entailment,120
Heather bicycled 40.0 kilometers at 8.0 kilometers per hour.,Heather bicycled for 3.0 hours.,contradiction,121
Lawrence walked 4.0 kilometers at 3.0 kilometers per hour.,Lawrence walked for 1.333333 hours.,entailment,122
Lawrence walked 4.0 kilometers at 3.0 kilometers per hour.,Lawrence walked for 2.9 hours.,contradiction,123
2.0 birds were sitting on the fence and 4.0 more birds came to join them.,6.0 birds are sitting on the fence.,entailment,124
2.0 birds were sitting on the fence and 4.0 more birds came to join them.,10.0 birds are sitting on the fence.,contradiction,125
There are 6.0 birds and 3.0 nests.,There are 3.0 more birds than nests.,entailment,126
There are 6.0 birds and 3.0 nests.,There are 0.0 more birds than nests.,contradiction,127
There are 5.0 flowers and 3.0 bees.,There are 2.0 fewer bees than flowers.,entailment,128
There are 5.0 flowers and 3.0 bees.,There are 0.0 fewer bees than flowers.,contradiction,129
3.0 owls were sitting on the fence and 2.0 more owls joined them.,5.0 owls are on the fence now.,entailment,130
3.0 owls were sitting on the fence and 2.0 more owls joined them.,3.0 owls are on the fence now.,contradiction,131
2.0 beavers were working on their home and 1.0 went for a swim.,1.0 beaver is still working on its home.,entailment,132
2.0 beavers were working on their home and 1.0 went for a swim.,0.0 beavers are still working on their home.,contradiction,133
2.0 toucans are sitting on a tree limb and 1.0 more toucan joins them.,There are 3.0 toucans in all.,entailment,134
2.0 toucans are sitting on a tree limb and 1.0 more toucan joins them.,There are 5.0 toucans in all.,contradiction,135
There are 4.0 squirrels in a tree with 2.0 nuts.,There are 2.0 more squirrels than nuts.,entailment,136
There are 4.0 squirrels in a tree with 2.0 nuts.,There are 5.0 more squirrels than nuts.,contradiction,137
Mrs. Hilt reads 5.0 books a day.,She read 15.0 books.,entailment,138
Mrs. Hilt reads 5.0 books a day.,She read 16.0 books.,contradiction,139
"There were 10.0 students riding on the school bus and at the first stop, 3.0 students got off of the bus.",7.0 students are left on the bus.,entailment,140
"There were 10.0 students riding on the school bus and at the first stop, 3.0 students got off of the bus.",10.0 students are left on the bus.,contradiction,141
"I read 21.0 pages of my English book yesterday and today, I read 17.0 pages.",The total number of pages I read is 38.0.,entailment,142
"I read 21.0 pages of my English book yesterday and today, I read 17.0 pages.",The total number of pages I read is 34.0.,contradiction,143
"In a school, there are 542.0 girls and 387.0 boys.",929.0 pupils are there in that school.,entailment,144
"In a school, there are 542.0 girls and 387.0 boys.",928.0 pupils are there in that school.,contradiction,145
Gino has 63.0 popsicle sticks and I have 50.0 popsicle sticks.,The sum of our popsicle sticks is 113.0.,entailment,146
Gino has 63.0 popsicle sticks and I have 50.0 popsicle sticks.,The sum of our popsicle sticks is 110.0.,contradiction,147
"There were 105.0 parents in the program and 698.0 pupils, too.",803.0 people were present in the program.,entailment,148
"There were 105.0 parents in the program and 698.0 pupils, too.",799.0 people were present in the program.,contradiction,149
There are 12.0 birds on the fence and 8.0 more birds land on the fence.,20.0 birds are on the fence.,entailment,150
There are 12.0 birds on the fence and 8.0 more birds land on the fence.,16.0 birds are on the fence.,contradiction,151
13.0 ducks are swimming in a lake and 20.0 more ducks come to join them.,33.0 ducks are swimming in the lake.,entailment,152
13.0 ducks are swimming in a lake and 20.0 more ducks come to join them.,31.0 ducks are swimming in the lake.,contradiction,153
Sandy had 26.0 pet fish and she bought 6.0 more fish.,Sandy has 32.0 pet fish now.,entailment,154
Sandy had 26.0 pet fish and she bought 6.0 more fish.,Sandy has 27.0 pet fish now.,contradiction,155
The clown blew up 47.0 balloons and then he blew up 13.0 more balloons.,Clown has 60.0 balloons now.,entailment,156
The clown blew up 47.0 balloons and then he blew up 13.0 more balloons.,Clown has 63.0 balloons now.,contradiction,157
"Isha’s pencil is 12.0 cubes long, and she gets another pencil that is 12.0 cubes long.",Both pencils are 24.0 cubes long.,entailment,158
"Isha’s pencil is 12.0 cubes long, and she gets another pencil that is 12.0 cubes long.",Both pencils are 26.0 cubes long.,contradiction,159
Mrs. Sheridan has 22.0 fish and her sister gave her 47.0 more fish.,She has 69.0 fish now.,entailment,160
Mrs. Sheridan has 22.0 fish and her sister gave her 47.0 more fish.,She has 72.0 fish now.,contradiction,161
"Mrs. Heine is buying Valentine’s Day treats for her 2.0 dogs, and she wants to buy them 3.0 heart biscuits each.",She needs 6.0 biscuits.,entailment,162
"Mrs. Heine is buying Valentine’s Day treats for her 2.0 dogs, and she wants to buy them 3.0 heart biscuits each.",She needs 9.0 biscuits.,contradiction,163
14.0 birds were sitting in a tree and 21.0 more birds flew up to the tree.,35.0 birds were there altogether in the tree.,entailment,164
14.0 birds were sitting in a tree and 21.0 more birds flew up to the tree.,39.0 birds were there altogether in the tree.,contradiction,165
There were 28.0 girls and 35.0 boys on the playground at recess.,63.0 children were there in all.,entailment,166
There were 28.0 girls and 35.0 boys on the playground at recess.,61.0 children were there in all.,contradiction,167
There were 58.0 geese and 37.0 ducks in the marsh.,95.0 birds were there in all.,entailment,168
There were 58.0 geese and 37.0 ducks in the marsh.,98.0 birds were there in all.,contradiction,169
Josh had 142.0 pencils and he gave 31.0 pencils to Dorothy.,Josh has 111.0 pencils left.,entailment,170
Josh had 142.0 pencils and he gave 31.0 pencils to Dorothy.,Josh has 106.0 pencils left.,contradiction,171
There are 40.0 boys and some girls on the playground and there are 117.0 children altogether.,77.0 girls are on the playground.,entailment,172
There are 40.0 boys and some girls on the playground and there are 117.0 children altogether.,79.0 girls are on the playground.,contradiction,173
Each CD rack holds 8.0 CDs and a shelf can hold 4.0 racks.,32.0 total CDs can fit on the shelf.,entailment,174
Each CD rack holds 8.0 CDs and a shelf can hold 4.0 racks.,36.0 total CDs can fit on the shelf.,contradiction,175
"Joe had 50.0 toy cars, and he gets 12.0 more cars.",He will have 62.0 cars then.,entailment,176
"Joe had 50.0 toy cars, and he gets 12.0 more cars.",He will have 65.0 cars then.,contradiction,177
Josh had 16.0 marbles in his collection and he lost 7.0 marbles.,He has 9.0 marbles now.,entailment,178
Josh had 16.0 marbles in his collection and he lost 7.0 marbles.,He has 5.0 marbles now.,contradiction,179
There are 38.0 books on the shelf and Marta put 10.0 more books on the shelf.,48.0 books are on the shelf now.,entailment,180
There are 38.0 books on the shelf and Marta put 10.0 more books on the shelf.,52.0 books are on the shelf now.,contradiction,181
Mrs. Hilt has 50.0 cents and a pencil costs 5.0 cents.,She can buy 10.0 pencils with the money she has.,entailment,182
Mrs. Hilt has 50.0 cents and a pencil costs 5.0 cents.,She can buy 12.0 pencils with the money she has.,contradiction,183
"Mark has 13.0 trees in his backyard, and he plants 12.0 more.",He will have 25.0 trees.,entailment,184
"Mark has 13.0 trees in his backyard, and he plants 12.0 more.",He will have 28.0 trees.,contradiction,185
5.0 boats are in the lake and each boat has 3.0 people.,15.0 people are on boats in the lake.,entailment,186
5.0 boats are in the lake and each boat has 3.0 people.,19.0 people are on boats in the lake.,contradiction,187
Randy has 78.0 blocks and he uses 19.0 blocks to build a tower.,59.0 blocks are left.,entailment,188
Randy has 78.0 blocks and he uses 19.0 blocks to build a tower.,63.0 blocks are left.,contradiction,189
"Paul got a box of 479.0 crayons for his birthday and at the end of the school year, he only had 134.0 left.",345.0 crayons had been lost or given away.,entailment,190
"Paul got a box of 479.0 crayons for his birthday and at the end of the school year, he only had 134.0 left.",340.0 crayons had been lost or given away.,contradiction,191
There were 27.0 boys and 35.0 girls on the playground at recess.,62.0 children were on the playground at recess.,entailment,192
There were 27.0 boys and 35.0 girls on the playground at recess.,66.0 children were on the playground at recess.,contradiction,193
There were 58.0 geese and 37.0 ducks in the marsh.,95.0 birds were in the marsh.,entailment,194
There were 58.0 geese and 37.0 ducks in the marsh.,92.0 birds were in the marsh.,contradiction,195
Gary had 73.0 dollars and he spent 55.0 dollars on a pet snake.,Gary has 18.0 dollars left.,entailment,196
Gary had 73.0 dollars and he spent 55.0 dollars on a pet snake.,Gary has 19.0 dollars left.,contradiction,197
"For the fifth grade play, the chairs have been put into 27.0 rows with 16.0 chairs in each row.",432.0 chairs have been put out for the play.,entailment,198
"For the fifth grade play, the chairs have been put into 27.0 rows with 16.0 chairs in each row.",433.0 chairs have been put out for the play.,contradiction,199
The Ferris wheel in Paradise Park has 14.0 seats and each seat can hold 6.0 people.,84.0 people can ride the Ferris wheel at the same time.,entailment,200
The Ferris wheel in Paradise Park has 14.0 seats and each seat can hold 6.0 people.,85.0 people can ride the Ferris wheel at the same time.,contradiction,201
A garden has 52.0 rows and 15.0 columns of bean plans.,780.0 plants are there in all.,entailment,202
A garden has 52.0 rows and 15.0 columns of bean plans.,783.0 plants are there in all.,contradiction,203
A sandbox is 312.0 centimeters long and 146.0 centimeters wide.,The sandbox covers 45552.0 square centimeters of ground.,entailment,204
A sandbox is 312.0 centimeters long and 146.0 centimeters wide.,The sandbox covers 45553.0 square centimeters of ground.,contradiction,205
There are 261.0 fishbowls and each fishbowl has 23.0 fish.,There are 6003.0 fish.,entailment,206
There are 261.0 fishbowls and each fishbowl has 23.0 fish.,There are 5998.0 fish.,contradiction,207
We ordered 21.0 pizzas and each pizza has 8.0 slices.,168.0 slices of pizza are there altogether.,entailment,208
We ordered 21.0 pizzas and each pizza has 8.0 slices.,164.0 slices of pizza are there altogether.,contradiction,209
There were 150.0 book shelves and each book shelf had 15.0 books.,2250.0 books were on the shelves.,entailment,210
There were 150.0 book shelves and each book shelf had 15.0 books.,2251.0 books were on the shelves.,contradiction,211
There are 84.0 leaves and there are 139.0 ladybugs on each leaf.,11676.0 ladybugs are there in all.,entailment,212
There are 84.0 leaves and there are 139.0 ladybugs on each leaf.,11678.0 ladybugs are there in all.,contradiction,213
There are 544.0 pots and each pot has 32.0 flowers in it.,17408.0 flowers are there in all.,entailment,214
There are 544.0 pots and each pot has 32.0 flowers in it.,17410.0 flowers are there in all.,contradiction,215
A candy store has 6.0 boxes of chocolates and each box has 500.0 pieces.,3000.0 pieces are there altogether in the boxes.,entailment,216
A candy store has 6.0 boxes of chocolates and each box has 500.0 pieces.,2999.0 pieces are there altogether in the boxes.,contradiction,217
"White t-shirts can be purchased in packages of 6.0, and Mom buys 71.0 packages.",She will have 426.0 white t-shirts.,entailment,218
"White t-shirts can be purchased in packages of 6.0, and Mom buys 71.0 packages.",She will have 422.0 white t-shirts.,contradiction,219
Mr. Guzman bought 48.0 doughnuts packed equally into 4.0 boxes.,12.0 doughnuts were in each box.,entailment,220
Mr. Guzman bought 48.0 doughnuts packed equally into 4.0 boxes.,15.0 doughnuts were in each box.,contradiction,221
"There were 3409.0 pieces of candy in a jar, and 145.0 pieces were red and the rest were blue.",3264.0 candy pieces were blue.,entailment,222
"There were 3409.0 pieces of candy in a jar, and 145.0 pieces were red and the rest were blue.",3260.0 candy pieces were blue.,contradiction,223
Third-grade students went to a concert in 8.0 buses and each bus took 45.0 students.,360.0 students went to the concert.,entailment,224
Third-grade students went to a concert in 8.0 buses and each bus took 45.0 students.,363.0 students went to the concert.,contradiction,225
6.0 students were sitting at each table in the lunchroom and there are 34.0 tables.,204.0 students were sitting in the lunchroom.,entailment,226
6.0 students were sitting at each table in the lunchroom and there are 34.0 tables.,202.0 students were sitting in the lunchroom.,contradiction,227
The farmer had 127.0 apples and he gave 88.0 apples to his neighbor.,He has 39.0 apples now.,entailment,228
The farmer had 127.0 apples and he gave 88.0 apples to his neighbor.,He has 35.0 apples now.,contradiction,229
Lucy has an aquarium with 212.0 fish and she wants to buy 68.0 more fish.,Lucy would have 280.0 fish then.,entailment,230
Lucy has an aquarium with 212.0 fish and she wants to buy 68.0 more fish.,Lucy would have 284.0 fish then.,contradiction,231
A pet supply store has 600.0 bags of dog food and 327.0 bags of cat food.,273.0 more bags of dog food are there than cat food.,entailment,232
A pet supply store has 600.0 bags of dog food and 327.0 bags of cat food.,271.0 more bags of dog food are there than cat food.,contradiction,233
532.0 people are watching a movie in a theater and the theater has 750.0 seats.,218.0 seats are empty in the theater.,entailment,234
532.0 people are watching a movie in a theater and the theater has 750.0 seats.,219.0 seats are empty in the theater.,contradiction,235
1035.0 pounds of oranges are in 45.0 bags.,Each bag contains 23.0 pounds of oranges.,entailment,236
1038.0 pounds of oranges are in 45.0 bags.,Each bag contains 23.0 pounds of oranges.,contradiction,237
"You are reading a book with 120.0 pages, and you want to read the same number of pages each night.",You would have 12.0 pages to read each night to finish in 10.0 days.,entailment,238
"You are reading a book with 120.0 pages, and you want to read the same number of pages each night.",You would have 9.0 pages to read each night to finish in 10.0 days.,contradiction,239
A cereal box holds 18.0 cups of cereal and each serving is 2.0 cups.,9.0 servings are in the whole box.,entailment,240
A cereal box holds 18.0 cups of cereal and each serving is 2.0 cups.,8.0 servings are in the whole box.,contradiction,241
