sample_index,generated_label,error_message,golden_label,premise,hypothesis,clean_premise,clean_hypothesis,completion
645,entailment,,entailment,On every Adidas shoe the restaurant makes a profit of $ 10 while on every Puma shoe it makes a profit of $ 8,On every Adidas shoe the restaurant makes a profit of $ less than 30 while on every Puma shoe it makes a profit of $ 8,on every adidas shoe the restaurant makes a profit of $ 10 while on every puma shoe it makes a profit of $ 8,on every adidas shoe the restaurant makes a profit of $ less than 30 while on every puma shoe it makes a profit of $ 8,"adidas_profit_premise = 10
puma_profit_premise = 8
max_adidas_profit_hypothesis = 30
puma_profit_hypothesis = 8

def entailment_or_contradiction_or_neutral(adidas_profit_premise, puma_profit_premise, max_adidas_profit_hypothesis, puma_profit_hypothesis):
    # the hypothesis talks about the profit per shoe brand as mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the profit per Adidas shoe stated in the premise is greater than 'max_adidas_profit_hypothesis'
    if adidas_profit_premise > max_adidas_profit_hypothesis:
        return False
    # check if the profit per Puma shoe stated in the premise does not match 'puma_profit_hypothesis'
    elif puma_profit_premise != puma_profit_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(adidas_profit_premise, puma_profit_premise, max_adidas_profit_hypothesis, puma_profit_hypothesis))
"
3157,neutral,,neutral,Sandy invested a certain sum of money at more than 2 % p,Sandy invested a certain sum of money at 8 % p,sandy invested a certain sum of money at more than 2 % p,sandy invested a certain sum of money at 8 % p,"min_investment_interest_premise = 2
investment_interest_hypothesis = 8

def entailment_or_contradiction_or_neutral(min_investment_interest_premise, investment_interest_hypothesis):
    # the hypothesis talks about the percentage of the investment mentioned in the premise
    # check if the hypothesis contradicts the premise estimate of more than 'min_investment_interest_premise', by checking if the interest rate from the hypothesis is lower or equal to 'min_investment_interest_premise'
    if investment_interest_hypothesis <= min_investment_interest_premise:
        return False
    # any interest rate greater than 2% is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_investment_interest_premise, investment_interest_hypothesis))
"
3173,contradiction,,contradiction,Speed of Arjun is 30 m / s and that of Bhishma is 20 m / s,Speed of Arjun is more than 30 m / s and that of Bhishma is 20 m / s,speed of arjun is 30 m / s and that of bhishma is 20 m / s,speed of arjun is more than 30 m / s and that of bhishma is 20 m / s,"speed_arjun_premise = 30
speed_bhishma_premise = 20
speed_arjun_hypothesis = 30
speed_bhishma_hypothesis = 20

def entailment_or_contradiction_or_neutral(speed_arjun_premise, speed_bhishma_premise, speed_arjun_hypothesis, speed_bhishma_hypothesis):
    # The hypothesis contradicts the premise if Arjun's speed in the hypothesis is less than or equal to the one in the premise
    # or if Bhishma's speed in the hypothesis is not equal to the one in the premise
    if speed_arjun_hypothesis <= speed_arjun_premise or speed_bhishma_hypothesis != speed_bhishma_premise:
        return False
    # The hypothesis is neutral to the premise if Arjun's speed in the hypothesis is greater than the one in the premise
    # and Bhishma's speed in the hypothesis is equal to the one in the premise
    elif speed_arjun_hypothesis > speed_arjun_premise and speed_bhishma_hypothesis == speed_bhishma_premise:
        return None
    # The hypothesis entails the premise if Arjun's speed in the hypothesis is equal to the one in the premise
    # and Bhishma's speed in the hypothesis is equal to the one in the premise
    elif speed_arjun_hypothesis == speed_arjun_premise and speed_bhishma_hypothesis == speed_bhishma_premise:
        return True

print(entailment_or_contradiction_or_neutral(speed_arjun_premise, speed_bhishma_premise, speed_arjun_hypothesis, speed_bhishma_hypothesis))
"
2489,contradiction,,contradiction,"Thomas worked in the factory @ 4550 / - per week .
Owner told him to give the amount after one month",Thomas worked in the factory @ 8550 / - per week . Owner told him to give the amount after one month,thomas worked in the factory @ 4550 / - per week .owner told him to give the amount after one month,thomas worked in the factory @ 8550 / - per week . owner told him to give the amount after one month,"weekly_wage_premise = 4550
weekly_wage_hypothesis = 8550

def entailment_or_contradiction_or_neutral(weekly_wage_premise, weekly_wage_hypothesis):
    # the hypothesis refers to the weekly wage that Thomas earns at the factory mentioned in the premise
    # the hypothesis suggests a weekly wage different from the one in the premise
    # check if the hypothesis contradicts the premise by checking if the weekly wage in the hypothesis is different from the one in the premise
    if weekly_wage_hypothesis != weekly_wage_premise:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(weekly_wage_premise, weekly_wage_hypothesis))
"
4986,entailment,,entailment,"Susan weighs 20 pounds more than Anna does , and together they weigh a total of 160 pounds","Susan weighs less than 80 pounds more than Anna does , and together they weigh a total of 160 pounds","susan weighs 20 pounds more than anna does , and together they weigh a total of 160 pounds","susan weighs less than 80 pounds more than anna does , and together they weigh a total of 160 pounds","weight_difference_premise = 20
total_weight_premise = 160
max_weight_difference_hypothesis = 80
total_weight_hypothesis = 160

def entailment_or_contradiction_or_neutral(weight_difference_premise, total_weight_premise, max_weight_difference_hypothesis, total_weight_hypothesis):
    # the hypothesis refers to the weight difference between Susan and Anna and their total weight mentioned in the premise
    # check if the hypothesis contradicts the premise by checking if the weight difference or total weight from the hypothesis is different from the premise
    if weight_difference_premise > max_weight_difference_hypothesis or total_weight_premise != total_weight_hypothesis:
        return False
    # The hypothesis does not contradict the premise and the total weight is exactly as in the premise, so it entails the premise
    return True

print(entailment_or_contradiction_or_neutral(weight_difference_premise, total_weight_premise, max_weight_difference_hypothesis, total_weight_hypothesis))
"
5400,entailment,,entailment,"In a group of 80 people , 45 have visited Iceland and 33 have visited Norway","In a group of more than 30 people , 45 have visited Iceland and 33 have visited Norway","in a group of 80 people , 45 have visited iceland and 33 have visited norway","in a group of more than 30 people , 45 have visited iceland and 33 have visited norway","total_people_premise = 80
people_visited_iceland_premise = 45
people_visited_norway_premise = 33

min_people_hypothesis = 30
people_visited_iceland_hypothesis = 45
people_visited_norway_hypothesis = 33

def entailment_or_contradiction_or_neutral(total_people_premise, people_visited_iceland_premise, people_visited_norway_premise, min_people_hypothesis, people_visited_iceland_hypothesis, people_visited_norway_hypothesis):
    # the hypothesis refers to the same group of people and their visits to Iceland and Norway as mentioned in the premise
    # the hypothesis estimates the number of people in the group to more than 'min_people_hypothesis'
    # check if the hypothesis contradicts the premise by checking if the total number of people reported in the premise are lower than 'min_people_hypothesis'
    if total_people_premise < min_people_hypothesis:
        return False
    # the hypothesis also mentions the same number of people visiting Iceland and Norway as in the premise
    # check if the hypothesis contradicts the premise by checking if the numbers do not match
    elif people_visited_iceland_premise != people_visited_iceland_hypothesis or people_visited_norway_premise != people_visited_norway_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(total_people_premise, people_visited_iceland_premise, people_visited_norway_premise, min_people_hypothesis, people_visited_iceland_hypothesis, people_visited_norway_hypothesis))
"
2459,contradiction,,contradiction,"Lindy runs at a constant speed of 10 feet per second from Christina to Jack , back to Christina , back to Jack , and so forth","Lindy runs at a constant speed of more than 10 feet per second from Christina to Jack , back to Christina , back to Jack , and so forth","lindy runs at a constant speed of 10 feet per second from christina to jack , back to christina , back to jack , and so forth","lindy runs at a constant speed of more than 10 feet per second from christina to jack , back to christina , back to jack , and so forth","lindy_speed_premise = 10
min_lindy_speed_hypothesis = 10

def entailment_or_contradiction_or_neutral(lindy_speed_premise, min_lindy_speed_hypothesis):
    # The hypothesis refers to the speed of Lindy, which is also mentioned in the premise.
    # The hypothesis states that Lindy runs at a speed more than 'min_lindy_speed_hypothesis'.
    # Hence, we check if the hypothesis contradicts the premise by checking if Lindy's speed reported in the premise is less than 'min_lindy_speed_hypothesis'.
    if lindy_speed_premise <= min_lindy_speed_hypothesis:
        return False
    # Lindy's speed in the premise is exactly 10 feet per second, which is the minimum speed in the hypothesis, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(lindy_speed_premise, min_lindy_speed_hypothesis))
"
5767,neutral,,neutral,"If Dana gives her parents more than 4 % of that amount back each month , how much will she still owe her parents after four years of college ?","If Dana gives her parents 5 % of that amount back each month , how much will she still owe her parents after four years of college ?","if dana gives her parents more than 4 % of that amount back each month , how much will she still owe her parents after four years of college ?","if dana gives her parents 5 % of that amount back each month , how much will she still owe her parents after four years of college ?","min_monthly_percentage_premise = 4
monthly_percentage_hypothesis = 5

def entailment_or_contradiction_or_neutral(min_monthly_percentage_premise, monthly_percentage_hypothesis):
    # the hypothesis talks about the percentage Dana gives back to her parents each month, also mentioned in the premise
    # check if the hypothesis contradicts the premise estimate of more than 'min_monthly_percentage_premise', by checking if the percentage from the hypothesis is lower or equal to 'min_monthly_percentage_premise'
    if monthly_percentage_hypothesis <= min_monthly_percentage_premise:
        return False
    # any percentage greater than 4 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(min_monthly_percentage_premise, monthly_percentage_hypothesis))
"
4922,contradiction,,contradiction,"Since you ' re nice , you give John 7 baseball cards","Since you ' re nice , you give John more than 7 baseball cards","since you ' re nice , you give john 7 baseball cards","since you ' re nice , you give john more than 7 baseball cards","baseball_cards_given_premise = 7
min_baseball_cards_given_hypothesis = 7

def entailment_or_contradiction_or_neutral(baseball_cards_given_premise, min_baseball_cards_given_hypothesis):
    # the hypothesis refers to the number of baseball cards given to John, mentioned in the premise
    # the hypothesis estimates the number of baseball cards to be more than 'min_baseball_cards_given_hypothesis'
    # check if the hypothesis contradicts the premise by checking if number of baseball cards reported in the premise is less than or equal to 'min_baseball_cards_given_hypothesis'
    if baseball_cards_given_premise <= min_baseball_cards_given_hypothesis:
        return False
    else:
        return None

print(entailment_or_contradiction_or_neutral(baseball_cards_given_premise, min_baseball_cards_given_hypothesis))
"
3818,contradiction,,contradiction,"If Fred walks at a constant speed of 4 miles per hour and Sam walks at a constant speed of 4 miles per hour , how many miles has Sam walked when they meet ?","If Fred walks at a constant speed of 7 miles per hour and Sam walks at a constant speed of 4 miles per hour , how many miles has Sam walked when they meet ?","if fred walks at a constant speed of 4 miles per hour and sam walks at a constant speed of 4 miles per hour , how many miles has sam walked when they meet ?","if fred walks at a constant speed of 7 miles per hour and sam walks at a constant speed of 4 miles per hour , how many miles has sam walked when they meet ?","fred_speed_premise = 4
sam_speed_premise = 4
fred_speed_hypothesis = 7
sam_speed_hypothesis = 4

def entailment_or_contradiction_or_neutral(fred_speed_premise, sam_speed_premise, fred_speed_hypothesis, sam_speed_hypothesis):
    # The hypothesis talks about the speed of Fred and Sam, which is also mentioned in the premise.
    # Check if the speed of Fred in the hypothesis contradicts the speed mentioned in the premise.
    if fred_speed_hypothesis != fred_speed_premise:
        return False
    # Check if the speed of Sam in the hypothesis contradicts the speed mentioned in the premise.
    elif sam_speed_hypothesis != sam_speed_premise:
        return False
    # If the speeds in the hypothesis and premise are the same, then the hypothesis entails the premise.
    else:
        return True

print(entailment_or_contradiction_or_neutral(fred_speed_premise, sam_speed_premise, fred_speed_hypothesis, sam_speed_hypothesis))
"
1650,entailment,,entailment,"If today in the morning Salley makes a payment of $ 7 , for how many days , including today , will she be connected to the internet without any additional payments , given her initial balance was $ 0 ?","If today in the morning Salley makes a payment of $ more than 1 , for how many days , including today , will she be connected to the internet without any additional payments , given her initial balance was $ 0 ?","if today in the morning salley makes a payment of $ 7 , for how many days , including today , will she be connected to the internet without any additional payments , given her initial balance was $ 0 ?","if today in the morning salley makes a payment of $ more than 1 , for how many days , including today , will she be connected to the internet without any additional payments , given her initial balance was $ 0 ?","payment_premise = 7
min_payment_hypothesis = 1

def entailment_or_contradiction_or_neutral(payment_premise, min_payment_hypothesis):
    # the hypothesis talks about the payment mentioned in the premise
    # the hypothesis estimates the payment as more than 'min_payment_hypothesis'
    # check if the hypothesis contradicts the premise by checking if the payment value from the premise is lower than or equal to 'min_payment_hypothesis'
    if payment_premise <= min_payment_hypothesis:
        return False
    # if the hypothesis does not contradict the premise, it entails it
    else:
        return True

print(entailment_or_contradiction_or_neutral(payment_premise, min_payment_hypothesis))
"
3228,entailment,,entailment,"Store Z : $ 70 , a 30 % sales tax , and $ 10 rebate after tax
Isaac can purchase a certain item in four different ways , as shown in the table","Store Z : $ more than 60 , a 30 % sales tax , and $ 10 rebate after tax Isaac can purchase a certain item in four different ways , as shown in the table","store z : $ 70 , a 30 % sales tax , and $ 10 rebate after taxisaac can purchase a certain item in four different ways , as shown in the table","store z : $ more than 60 , a 30 % sales tax , and $ 10 rebate after tax isaac can purchase a certain item in four different ways , as shown in the table","store_z_price_premise = 70
sales_tax_premise = 30
rebate_premise = 10

min_store_z_price_hypothesis = 60
sales_tax_hypothesis = 30
rebate_hypothesis = 10

def entailment_or_contradiction_or_neutral(store_z_price_premise, sales_tax_premise, rebate_premise, min_store_z_price_hypothesis, sales_tax_hypothesis, rebate_hypothesis):
    # the hypothesis refers to the price, sales tax and rebate of Store Z mentioned in the premise
    # the hypothesis estimates the price to be more than 'min_store_z_price_hypothesis'
    # check if the hypothesis contradicts the premise by checking if price, sales tax or rebate reported in the premise are lower than 'min_store_z_price_hypothesis', 'sales_tax_hypothesis' or 'rebate_hypothesis' respectively
    if store_z_price_premise < min_store_z_price_hypothesis or sales_tax_premise != sales_tax_hypothesis or rebate_premise != rebate_hypothesis:
        return False
    else:
        return True

print(entailment_or_contradiction_or_neutral(store_z_price_premise, sales_tax_premise, rebate_premise, min_store_z_price_hypothesis, sales_tax_hypothesis, rebate_hypothesis))
"
1550,contradiction,,contradiction,"If Snyder has 4 more men and 6 more women than Leigh , how many men ' s are in the Snyder choir ?","If Snyder has 2 more men and 6 more women than Leigh , how many men ' s are in the Snyder choir ?","if snyder has 4 more men and 6 more women than leigh , how many men ' s are in the snyder choir ?","if snyder has 2 more men and 6 more women than leigh , how many men ' s are in the snyder choir ?","extra_men_snyder_premise = 4
extra_men_snyder_hypothesis = 2

def entailment_or_contradiction_or_neutral(extra_men_snyder_premise, extra_men_snyder_hypothesis):
    # the hypothesis talks about the number of extra men in Snyder's choir compared to Leigh's, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of 'extra_men_snyder_premise', by checking if the number of extra men from the hypothesis is different from 'extra_men_snyder_premise'
    if extra_men_snyder_hypothesis != extra_men_snyder_premise:
        return False
    # if the number of extra men is the same in the hypothesis and premise, then the hypothesis is entailed by the premise
    return True

print(entailment_or_contradiction_or_neutral(extra_men_snyder_premise, extra_men_snyder_hypothesis))
"
888,entailment,,entailment,Raja ' s Bank ' s saving amount is decreased 40 % due to loan payment and current balance is Rs,Raja ' s Bank ' s saving amount is decreased less than 70 % due to loan payment and current balance is Rs,raja ' s bank ' s saving amount is decreased 40 % due to loan payment and current balance is rs,raja ' s bank ' s saving amount is decreased less than 70 % due to loan payment and current balance is rs,"decreased_percentage_premise = 40
max_decreased_percentage_hypothesis = 70

def entailment_or_contradiction_or_neutral(decreased_percentage_premise, max_decreased_percentage_hypothesis):
    # the hypothesis talks about the decrease in saving amount due to loan payment mentioned also in the premise
    # check if the hypothesis contradicts the premise by estimating the decrease being more than 'decreased_percentage_premise'
    if max_decreased_percentage_hypothesis < decreased_percentage_premise:
        return False
    # if the decrease is less than or equal to the 'max_decreased_percentage_hypothesis', it is consistent with the hypothesis
    return True

print(entailment_or_contradiction_or_neutral(decreased_percentage_premise, max_decreased_percentage_hypothesis))
"
7247,contradiction,,contradiction,Joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 45,Joe ’ s average ( arithmetic mean ) test score across less than 4 equally weighted tests was 45,joe ’ s average ( arithmetic mean ) test score across 4 equally weighted tests was 45,joe ’ s average ( arithmetic mean ) test score across less than 4 equally weighted tests was 45,"test_scores_average_premise = 45
number_of_tests_premise = 4
test_scores_average_hypothesis = 45
number_of_tests_hypothesis = 4

def entailment_or_contradiction_or_neutral(test_scores_average_premise, number_of_tests_premise, test_scores_average_hypothesis, number_of_tests_hypothesis):
    # the hypothesis refers to the average test score and number of tests mentioned in the premise
    # the hypothesis states that the average test score was achieved over less than 4 tests
    # check if the hypothesis contradicts the premise by checking if the number of tests is equal to or more than 4
    if number_of_tests_hypothesis >= number_of_tests_premise:
        return False
    # the hypothesis does not provide any additional information or details that could lead to an entailment, so it's neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(test_scores_average_premise, number_of_tests_premise, test_scores_average_hypothesis, number_of_tests_hypothesis))
"
2797,neutral,,neutral,Jane will take only less than 62 days to complete the same task,Jane will take only 12 days to complete the same task,jane will take only less than 62 days to complete the same task,jane will take only 12 days to complete the same task,"max_days_task_premise = 62
days_task_hypothesis = 12

def entailment_or_contradiction_or_neutral(max_days_task_premise, days_task_hypothesis):
    # the hypothesis talks about the number of days Jane will take to complete a task, referenced also in the premise
    # check if the hypothesis contradicts the premise estimate of less than 'max_days_task_premise', by checking if the number of days from the hypothesis is more than 'max_days_task_premise'
    if days_task_hypothesis > max_days_task_premise:
        return False
    # any number of days less than 62 is consistent with the premise, so the hypothesis is neutral to the premise
    return None

print(entailment_or_contradiction_or_neutral(max_days_task_premise, days_task_hypothesis))
"
