sample_index,premise,hypothesis,golden_label,reference_label,completion
2,A restaurant served 9.0 pizzas during lunch and 6.0 during dinner today.,15.0 pizzas were served today.,entailment,entailment,"pizzas_lunch_premise = 9.0
pizzas_dinner_premise = 6.0
total_pizzas_hypothesis = 15.0

# the hypothesis refers to the total number of pizzas served, which is also mentioned in the premise
# compute the total number of pizzas served in the premise
total_pizzas_premise = pizzas_lunch_premise + pizzas_dinner_premise

if total_pizzas_hypothesis != total_pizzas_premise:
    # check if the total number of pizzas in the hypothesis contradicts the total number of pizzas from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
470,A restaurant made 9.0 hamburgers and 4.0 hot dogs to serve during lunch and then the restaurant made 3.0 more hamburgers.,12.0 hamburgers were made.,entailment,entailment,"hamburgers_initial_premise = 9.0
hamburgers_additional_premise = 3.0
hamburgers_hypothesis = 12.0

# the hypothesis refers to the number of hamburgers, which are also mentioned in the premise
# compute the total number of hamburgers in the premise
total_hamburgers_premise = hamburgers_initial_premise + hamburgers_additional_premise

if hamburgers_hypothesis != total_hamburgers_premise:
    # check if the number of hamburgers in the hypothesis contradicts the number of hamburgers from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""
    
print(label)
"
504,6.0 people ate 54.0 lemon heads each.,324.0 lemon heads were eaten all together.,entailment,entailment,"people_premise = 6.0
lemon_heads_each_premise = 54.0
total_lemon_heads_hypothesis = 324.0

# the hypothesis refers to the total number of lemon heads eaten, which can be calculated from the premise
# compute the total number of lemon heads eaten in the premise
total_lemon_heads_premise = people_premise * lemon_heads_each_premise
if total_lemon_heads_hypothesis != total_lemon_heads_premise:
    # check if the total number of lemon heads in the hypothesis contradicts the total number of lemon heads from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
461,"Nicole found an orange caterpillar and a green caterpillar in her backyard and the green caterpillar was 3.0 inches long, and the orange caterpillar was 1.1666666666666667 inches long.",The green caterpillar and the orange caterpillar were 8.2 inches in total.,contradiction,contradiction,"green_caterpillar_premise = 3.0
orange_caterpillar_premise = 1.1666666666666667
total_caterpillars_hypothesis = 8.2

# the hypothesis refers to the total length of the caterpillars, which are also mentioned in the premise
# compute the total length of the caterpillars in the premise
total_caterpillars_premise = green_caterpillar_premise + orange_caterpillar_premise
if total_caterpillars_hypothesis != total_caterpillars_premise:
    # check if the total length of caterpillars in the hypothesis contradicts the total length of caterpillars from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
492,Mildred collects 77.0 oranges and Mildred's father eats 2.0 of them.,Mildred has 75.0 oranges now.,entailment,entailment,"collected_oranges_premise = 77.0
eaten_oranges_premise = 2.0
total_oranges_hypothesis = 75.0

# the hypothesis refers to the number of oranges, which are also mentioned in the premise
# compute the total number of oranges remained in the premise
total_oranges_premise = collected_oranges_premise - eaten_oranges_premise
if total_oranges_hypothesis != total_oranges_premise:
    # check if the number of oranges in the hypothesis contradicts the number of oranges from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
643,Lucy has 212.0 fish and then she buys 280.0 more fish.,She has 496.0 fish now.,contradiction,contradiction,"fish_initially_premise = 212.0
fish_bought_premise = 280.0
total_fish_hypothesis = 496.0

# the hypothesis refers to the total number of fish, which is also mentioned in the premise
# compute the total number of fish in the premise
total_fish_premise = fish_initially_premise + fish_bought_premise
if total_fish_hypothesis != total_fish_premise:
    # check if the number of fish in the hypothesis contradicts the total number of fish from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
129,There are 5.0 flowers and 3.0 bees.,There are 0.0 fewer bees than flowers.,contradiction,contradiction,"flowers_premise = 5.0
bees_premise = 3.0
bees_difference_hypothesis = 0.0

# the hypothesis refers to the difference between the number of bees and flowers, which are also mentioned in the premise
# compute the difference between the number of flowers and bees in the premise
bees_difference_premise = flowers_premise - bees_premise
if bees_difference_hypothesis != bees_difference_premise:
    # check if the difference in the number of bees and flowers in the hypothesis contradicts the same difference from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
178,Josh had 16.0 marbles in his collection and he lost 7.0 marbles.,He has 9.0 marbles now.,entailment,entailment,"initial_marbles_premise = 16.0
lost_marbles_premise = 7.0
current_marbles_hypothesis = 9.0

# the hypothesis refers to the number of marbles now, which is also mentioned in the premise
# compute the total number of marbles in the premise
current_marbles_premise = initial_marbles_premise - lost_marbles_premise
if current_marbles_hypothesis != current_marbles_premise:
    # check if the number of marbles in the hypothesis contradicts the number of marbles from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
593,"Joe had 50.0 toy cars, and he gives away 12.0 cars.",He will have 37.0 cars remaining.,contradiction,contradiction,"initial_cars_premise = 50.0
given_cars_premise = 12.0
remaining_cars_hypothesis = 37.0

# the hypothesis refers to the remaining number of cars, which can be calculated from the premise
# compute the remaining number of cars in the premise
remaining_cars_premise = initial_cars_premise - given_cars_premise

if remaining_cars_hypothesis != remaining_cars_premise:
    # check if the remaining cars in the hypothesis contradicts the remaining cars from the premise
    label = ""contradiction""
else:
    # if the remaining cars from the hypothesis do not contradict the remaining cars from the premise, we can infer entailment
    label = ""entailment""    

print(label)
"
531,Linda has 34.0 candies and she gave Chloe 28.0 candies.,Linda has 2.0 candies left.,contradiction,contradiction,"candies_linda_premise = 34.0
candies_given_premise = 28.0
candies_left_hypothesis = 2.0

# the hypothesis refers to the number of candies left with Linda, which is also mentioned in the premise
# compute the number of candies left with Linda in the premise
candies_left_premise = candies_linda_premise - candies_given_premise
if candies_left_hypothesis != candies_left_premise:
    # check if the number of candies left in the hypothesis contradicts the number of candies left from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
574,Robin has 18.0 pieces of gum and her brother gave her 44.0 more pieces.,Robin has 62.0 pieces of gum now.,entailment,entailment,"gum_premise = 18.0
gum_received_premise = 44.0
gum_hypothesis = 62.0

# the hypothesis refers to the number of pieces of gum, which are also mentioned in the premise
# compute the total number of pieces of gum in the premise
total_gum_premise = gum_premise + gum_received_premise
if gum_hypothesis != total_gum_premise:
    # check if the number of pieces of gum in the hypothesis contradicts the number of pieces of gum from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
707,"The farmers reported that they harvest 45.0 sacks of apples from an orchard that comprises 8.0 sections, and the same amount of apples is harvested from each section.",6.2 sacks are harvested from a section.,contradiction,contradiction,"total_sacks_premise = 45.0
sections_premise = 8.0
sacks_per_section_hypothesis = 6.2

# the hypothesis refers to the number of sacks harvested from a section, which is also mentioned in the premise
# compute the sacks harvested per section in the premise
sacks_per_section_premise = total_sacks_premise / sections_premise
if sacks_per_section_hypothesis != sacks_per_section_premise:
    # check if the number of sacks per section in the hypothesis contradicts the number of sacks per section from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
616,There are 544.0 flowers and each pot has 32.0 in it.,17.0 pots are there in all.,entailment,entailment,"total_flowers_premise = 544.0
flowers_per_pot_premise = 32.0
total_pots_hypothesis = 17.0

# the hypothesis refers to the total number of pots, which can be inferred from the premise
# compute the total number of pots in the premise
total_pots_premise = total_flowers_premise / flowers_per_pot_premise

if total_pots_hypothesis != total_pots_premise:
    # check if the total number of pots in the hypothesis contradicts the total number of pots from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""

print(label)
"
622,We have a pile with 100.0 seeds in it and those seeds came from 4.0 watermelons.,25.0 seeds were there in each watermelon.,entailment,entailment,"total_seeds_premise = 100.0
total_watermelons_premise = 4.0
seeds_per_watermelon_hypothesis = 25.0

# the hypothesis refers to the number of seeds per watermelon, which can be computed from the premise
# compute the number of seeds per watermelon in the premise
seeds_per_watermelon_premise = total_seeds_premise / total_watermelons_premise

if seeds_per_watermelon_hypothesis != seeds_per_watermelon_premise:
    # check if the number of seeds per watermelon in the hypothesis contradicts the number of seeds per watermelon in the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
389,Mike has 35.0 books in his library and he bought 56.0 more books at a yard sale over the weekend.,Mike has 92.0 books now.,contradiction,contradiction,"initial_books_premise = 35.0
bought_books_premise = 56.0
total_books_hypothesis = 92.0

# the hypothesis refers to the total number of books, which are also mentioned in the premise
# compute the total number of books in the premise
total_books_premise = initial_books_premise + bought_books_premise
if total_books_hypothesis != total_books_premise:
    # check if the number of books in the hypothesis contradicts the number of books from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
158,"Isha’s pencil is 12.0 cubes long, and she gets another pencil that is 12.0 cubes long.",Both pencils are 24.0 cubes long.,entailment,entailment,"pencil1_premise = 12.0
pencil2_premise = 12.0
total_length_hypothesis = 24.0

# the hypothesis refers to the total length of the pencils, which are also mentioned in the premise
# compute the total length of the pencils in the premise
total_length_premise = pencil1_premise + pencil2_premise
if total_length_hypothesis != total_length_premise:
    # check if the total length of the pencils in the hypothesis contradicts the total length of the pencils from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
119,Benjamin skated 80.0 kilometers at 10.0 kilometers per hour.,Benjamin skated for 10.0 hours.,contradiction,contradiction,"distance_premise = 80.0
speed_premise = 10.0
time_hypothesis = 10.0

# the hypothesis refers to the time Benjamin skated, which can be inferred from the premise by dividing the distance by the speed
time_premise = distance_premise / speed_premise

if time_hypothesis != time_premise:
    # check if the time in the hypothesis contradicts the calculated time from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
148,"There were 105.0 parents in the program and 698.0 pupils, too.",803.0 people were present in the program.,entailment,entailment,"parents_premise = 105.0
pupils_premise = 698.0
total_people_hypothesis = 803.0

# the hypothesis refers to the total number of people, which is the sum of parents and pupils in the premise
# compute the total number of people in the premise
total_people_premise = parents_premise + pupils_premise
if total_people_hypothesis != total_people_premise:
    # check if the total number of people in the hypothesis contradicts the total number of people from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
663,"A pet store had 13.0 siamese cats and 5.0 house cats and During a purchase, they added 10.0 cats.",They have 26.0 cats left.,contradiction,contradiction,"siamese_cats_premise = 13.0
house_cats_premise = 5.0
added_cats_premise = 10.0
total_cats_hypothesis = 26.0

# the hypothesis refers to the total number of cats, which is related to the number of cats at the store in the premise
# compute the total number of cats in the premise
total_cats_premise = siamese_cats_premise + house_cats_premise + added_cats_premise
if total_cats_hypothesis != total_cats_premise:
    # check if the number of cats in the hypothesis contradicts the number of cats from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
632,There is a jar with 3409.0 pieces of candy and there are also 145.0 secret eggs with a prize in them.,3554.0 items in total are in the jar.,entailment,entailment,"candy_premise = 3409.0
eggs_premise = 145.0
total_items_hypothesis = 3554.0

# the hypothesis refers to the total number of items, which are also mentioned in the premise
# compute the total number of items in the premise
total_items_premise = candy_premise + eggs_premise
if total_items_hypothesis != total_items_premise:
    # check if the number of items in the hypothesis contradicts the number of items from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
98,The school is planning a field trip and there are 14.0 students and 2.0 seats on each school bus.,7.0 buses are needed to take the trip.,entailment,entailment,"students_premise = 14.0
seats_per_bus_premise = 2.0
buses_needed_hypothesis = 7.0

# the hypothesis refers to the number of buses needed, which can be estimated from the premise
# compute the number of buses needed in the premise
buses_needed_premise = students_premise / seats_per_bus_premise
if buses_needed_hypothesis != buses_needed_premise:
    # check if the number of buses needed in the hypothesis contradicts the number of buses needed from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
501,"There are 4.0 oranges, and there are 3.0 children.",6.0 oranges are there per child.,contradiction,contradiction,"oranges_premise = 4.0
children_premise = 3.0
oranges_per_child_hypothesis = 6.0

# the hypothesis refers to the number of oranges per child, which is also mentioned in the premise
# compute the number of oranges per child in the premise
oranges_per_child_premise = oranges_premise / children_premise
if oranges_per_child_hypothesis != oranges_per_child_premise:
    # check if the number of oranges per child in the hypothesis contradicts the number of oranges per child from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
606,There were 27.0 boys and 35.0 girls on the playground at recess and each boy went back inside paired with a girl.,8.0 children were left on the playground now.,entailment,entailment,"boys_premise = 27.0
girls_premise = 35.0
children_left_hypothesis = 8.0

# the hypothesis refers to the number of children left on the playground, which is also mentioned in the premise
# calculate the number of children left on the playground in the premise
children_left_premise = girls_premise - boys_premise
if children_left_hypothesis != children_left_premise:
    # check if the number of children left in the hypothesis contradicts the number of children left from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
657,"A box of books weighs 42 pounds, and each book weighs 3 pounds.",130.0 books are there in the box.,contradiction,contradiction,"box_weight_premise = 42
book_weight_premise = 3
books_in_box_hypothesis = 130.0

# the hypothesis refers to the total number of books in the box, which is indirectly mentioned in the premise
# compute the total number of books in the premise
books_in_box_premise = box_weight_premise / book_weight_premise
if books_in_box_hypothesis != books_in_box_premise:
    # check if the number of books in the box in the hypothesis contradicts the number of books in the box from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
717,"Jane's mom made 12.0 cinnamon swirls for each person, and there are 3.0 people eating.",40.0 rolls were made in total.,contradiction,contradiction,"rolls_each_person_premise = 12.0
people_eating_premise = 3.0
total_rolls_hypothesis = 40.0

# the hypothesis refers to the total number of rolls made, which can be calculated from the premise
# compute the total number of rolls made in the premise
total_rolls_premise = rolls_each_person_premise * people_eating_premise
if total_rolls_hypothesis != total_rolls_premise:
    # check if the number of rolls in the hypothesis contradicts the number of rolls from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
7,"Benny picked 2.0 apples, and Dan picked 9.0 apples from the apple tree.",10.0 apples were picked in total.,contradiction,contradiction,"apples_benny_premise = 2.0
apples_dan_premise = 9.0
total_apples_hypothesis = 10.0

# the hypothesis refers to the total number of apples picked, which are also mentioned in the premise
# compute the total number of apples picked in the premise
total_apples_premise = apples_benny_premise + apples_dan_premise
if total_apples_hypothesis != total_apples_premise:
    # check if the total number of apples in the hypothesis contradicts the total number of apples from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
475,There were 9.0 red orchids and 3.0 white orchids in the vase and Sally cut 15.0 red orchids from her flower garden and put them in the vase.,27.0 red orchids are there now in the vase.,contradiction,contradiction,"red_orchids_vase_premise = 9.0
white_orchids_vase_premise = 3.0
cut_red_orchids_premise = 15.0
red_orchids_vase_hypothesis = 27.0

# the hypothesis refers to the number of red orchids in the vase, which are also mentioned in the premise
# compute the total number of red orchids in the vase from the premise
total_red_orchids_vase_premise = red_orchids_vase_premise + cut_red_orchids_premise
if red_orchids_vase_hypothesis != total_red_orchids_vase_premise:
    # check if the number of red orchids in the vase from the hypothesis contradicts the number of red orchids in the vase from the premise
    label = ""contradiction""
else:
    # if the hypothesis values and estimates do not contradict the premise values, we can infer entailment
    label = ""entailment""    

print(label)
"
